"Environment and Climate Change Canada"
"Monthly Values for January - 2015"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ATTAWAPISKAT A","52.928","-82.432","ON","-22.1","8",NA,"-3.1","8","-35.8","8","",,NA,"2.2","8",NA,"","1","",,NA,"922.9","0.0","6010400"
"BIG TROUT LAKE A","53.818","-89.897","ON","-22.8","1",NA,"-1.7","1","-38.7","0","",,NA,"2.8","2",NA,"","0","",,NA,"1224.7","0.0","6010735"
"BIG TROUT LAKE","53.816","-89.892","ON","-23.6","1",NA,"-1.6","0","-38.9","1","",,NA,"14.5","2",NA,"36.0","5","",,NA,"1249.3","0.0","6010740"
"EAR FALLS (AUT)","50.631","-93.221","ON","-17.3","1",NA,"1.8","0","-34.2","1","",,NA,"19.3","1",NA,"39.0","6","",,NA,"1060.0","0.0","6012199"
"FORT SEVERN A","56.019","-87.676","ON","-25.9","1",NA,"-5.0","1","-41.6","0","",,NA,"0.9","1",NA,"","0","",,NA,"1318.0","0.0","6012501"
"LANSDOWNE HOUSE (AUT)","52.196","-87.936","ON","-22.2","1",NA,"-0.9","0","-40.9","1","",,NA,"25.0","2",NA,"39.0","8","",,NA,"1205.9","0.0","6014353"
"MUSKRAT DAM","53.441","-91.763","ON","-22.8","1",NA,"-0.7","1","-41.5","0","",,NA,"1.2","2",NA,"","0","",,NA,"1224.5","0.0","6015026"
"PEAWANUCK (AUT)","54.983","-85.433","ON","-26.0","1",NA,"-4.5","0","-42.7","1","",,NA,"14.7","1",NA,"21.0","5","",,NA,"1320.6","0.0","6016295"
"PICKLE LAKE (AUT)","51.449","-90.218","ON","-20.1","1",NA,"0.1","0","-36.2","1","",,NA,"31.7","1",NA,"40.0","8","",,NA,"1143.7","0.0","6016525"
"PICKLE LAKE A","51.446","-90.214","ON","-20.3","0",NA,"0.0","0","-36.4","0","",,NA,"",,NA,"45.0","","",,NA,"1187.1","0.0","6016529"
"RED LAKE A","51.067","-93.793","ON","-18.3","1",NA,"1.6","1","-34.5","0","",,NA,"",,NA,"34.0","","",,NA,"1089.8","0.0","6016970"
"SANDY LAKE A","53.064","-93.344","ON","-21.8","3",NA,"0.8","3","-39.4","3","",,NA,"3.8","3",NA,"","2","",,NA,"1113.4","0.0","6017401"
"BARWICK","48.633","-93.967","ON","-10.0","22","5.3","4.0","22","-25.5","22","1.7","22",NA,"1.7","22",NA,"","1","","",NA,"252.0","0.0","6020559"
"ATIKOKAN (AUT)","48.761","-91.628","ON","-16.4","1",NA,"2.0","0","-35.0","1","",,NA,"26.4","2",NA,"28.0","4","",,NA,"1031.5","0.0","6020LPQ"
"FORT FRANCES RCS","48.651","-93.439","ON","-15.3","1",NA,"3.4","0","-35.2","1","",,NA,"28.0","1",NA,"19.0","7","",,NA,"997.8","0.0","6022474"
"MINE CENTRE SOUTHWEST","48.760","-92.623","ON","-15.9","0",NA,"3.0","0","-35.0","0","36.9","0",NA,"37.0","0",NA,"41.0","7","","",NA,"1049.8","0.0","6025205"
"DRYDEN REGIONAL","49.828","-92.744","ON","-16.3","0",NA,"2.3","0","-34.4","0","",,NA,"7.7","0",NA,"","4","",,NA,"1064.7","0.0","6032125"
"KENORA RCS","49.791","-94.378","ON","-15.8","1",NA,"2.3","0","-33.1","1","",,NA,"15.2","3",NA,"26.0","5","",,NA,"1015.4","0.0","6034073"
"KENORA A","49.788","-94.363","ON","-15.5","0",NA,"2.4","0","-33.0","0","36.4","0",NA,"30.2","0",NA,"29.0","8","",,NA,"1038.2","0.0","6034076"
"SIOUX LOOKOUT A","50.114","-91.908","ON","-17.8","0",NA,"1.4","0","-34.7","0","36.1","1",NA,"33.0","2",NA,"27.0","8","",,NA,"1109.8","0.0","6037776"
