"Environment and Climate Change Canada"
"Monthly Values for January - 2018"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ATTAWAPISKAT A","52.928","-82.432","ON","-22.4","6",NA,"-0.1","6","-35.5","6","",,NA,"0.0","7",NA,"","0","",,NA,"1009.8","0.0","6010400"
"BIG TROUT LAKE A","53.818","-89.897","ON","-22.0","4",NA,"-7.7","4","-34.7","3","",,NA,"0.0","16",NA,"","0","",,NA,"1081.3","0.0","6010735"
"BIG TROUT LAKE","53.816","-89.892","ON","-22.5","0",NA,"-7.6","0","-35.9","0","",,NA,"65.2","0",NA,"54.0","12","",,NA,"1255.8","0.0","6010740"
"EAR FALLS (AUT)","50.631","-93.221","ON","-16.4","0",NA,"1.4","0","-36.4","0","",,NA,"22.4","0",NA,"50.0","7","",,NA,"1066.7","0.0","6012199"
"FORT SEVERN A","56.019","-87.676","ON","-25.5","8",NA,"-12.6","8","-37.9","8","",,NA,"0.0","8",NA,"","0","",,NA,"999.8","0.0","6012501"
"LANSDOWNE HOUSE (AUT)","52.196","-87.936","ON","-21.3","0",NA,"-0.8","0","-39.5","0","",,NA,"28.7","0",NA,"47.0","8","",,NA,"1217.3","0.0","6014353"
"MUSKRAT DAM","53.441","-91.763","ON","-20.6","11",NA,"-6.3","11","-40.9","11","",,NA,"2.6","11",NA,"","1","",,NA,"771.6","0.0","6015026"
"PEAWANUCK (AUT)","54.983","-85.433","ON","-25.1","0",NA,"-10.9","0","-37.4","0","",,NA,"11.4","0",NA,"45.0","5","",,NA,"1337.1","0.0","6016295"
"PICKLE LAKE (AUT)","51.449","-90.218","ON","-18.9","1",NA,"-1.1","1","-35.0","0","",,NA,"29.0","2",NA,"58.0","7","",,NA,"1107.5","0.0","6016525"
"PICKLE LAKE A","51.446","-90.214","ON","",,NA,"-1.1","1","",,"",,NA,"",,NA,"55.0","","",,NA,"","","6016529"
"RED LAKE A","51.067","-93.793","ON","",,NA,"0.0","4","",,"",,NA,"",,NA,"38.0","","",,NA,"","","6016970"
"SANDY LAKE A","53.064","-93.344","ON","-19.9","4",NA,"-4.5","4","-39.7","4","",,NA,"0.0","4",NA,"","0","",,NA,"1022.0","0.0","6017401"
"BARWICK","48.633","-93.967","ON","-14.0","2","1.3","6.5","2","-38.0","2","18.4","2",NA,"18.4","2",NA,"","5","","",NA,"926.9","0.0","6020559"
"ATIKOKAN (AUT)","48.761","-91.628","ON","-15.4","0",NA,"4.4","0","-37.6","0","",,NA,"29.5","0",NA,"39.0","6","",,NA,"1035.8","0.0","6020LPQ"
"FORT FRANCES RCS","48.651","-93.439","ON","-16.9","5",NA,"6.0","5","-39.2","3","",,NA,"11.8","5",NA,"11.0","5","",,NA,"906.2","0.0","6022474"
"MINE CENTRE SOUTHWEST","48.760","-92.623","ON","-15.7","0",NA,"5.5","0","-38.0","0","33.0","0",NA,"33.0","0",NA,"46.0","10","","",NA,"1043.6","0.0","6025205"
"DRYDEN REGIONAL","49.828","-92.744","ON","-14.1","6",NA,"2.9","6","-34.8","6","",,NA,"4.1","6",NA,"","2","",,NA,"803.5","0.0","6032125"
"KENORA RCS","49.791","-94.378","ON","-15.2","0",NA,"3.9","0","-33.6","0","",,NA,"13.9","0",NA,"59.0","5","",,NA,"1027.8","0.0","6034073"
"KENORA A","49.788","-94.363","ON","-14.9","1",NA,"4.0","1","-32.7","1","48.1","0",NA,"38.1","0",NA,"38.0","7","",,NA,"988.2","0.0","6034076"
"RAWSON LAKE","49.650","-93.717","ON","-20.1","22","-4.4","-3.0","22","-32.5","21","2.6","22",NA,"2.0","22",NA,"","2","","",NA,"342.5","0.0","6036904"
"RAWSON LAKE (AUT)","49.664","-93.733","ON","-15.4","0",NA,"4.0","0","-34.0","0","",,NA,"30.3","0",NA,"44.0","7","",,NA,"1034.5","0.0","6036907"
"ROYAL ISLAND (AUT)","49.469","-94.763","ON","-14.5","1",NA,"5.3","1","-34.9","0","",,NA,"",,NA,"","","",,NA,"973.6","0.0","6037201"
"SIOUX LOOKOUT A","50.114","-91.908","ON","-17.1","0",NA,"1.9","0","-39.1","0","",,NA,"",,NA,"","","",,NA,"1089.6","0.0","6037776"
"ARMSTRONG (AUT)","50.294","-88.905","ON","-17.3","1",NA,"1.7","1","-40.6","0","",,NA,"27.1","1",NA,"37.0","7","",,NA,"1058.8","0.0","6040325"
"CAMERON FALLS (AUT)","49.154","-88.345","ON","-13.8","0",NA,"3.2","0","-30.9","0","",,NA,"36.9","0",NA,"32.0","6","",,NA,"984.5","0.0","6041110"
"CARIBOU ISLAND (AUT)","47.333","-85.833","ON","-5.5","3",NA,"3.7","3","-20.1","0","",,NA,"",,NA,"","","",,NA,"659.0","0.0","6041222"
"GERALDTON A","49.779","-86.939","ON","-16.0","0",NA,"1.8","0","-36.7","0","42.5","0",NA,"33.5","0",NA,"49.0","8","",,NA,"1054.0","0.0","6042717"
"HAZELWOOD","48.467","-89.267","ON","",,NA,"",,"",,"45.2","0",NA,"45.4","0",NA,"55.0","9","","",NA,"","","6043390"
"PUKASKWA (AUT)","48.608","-86.287","ON","-12.7","1",NA,"3.1","1","-35.1","0","",,NA,"51.0","1",NA,"35.0","9","",,NA,"919.6","0.0","6046768"
"TERRACE BAY AIRPORT","48.816","-87.092","ON","-11.7","8",NA,"2.8","8","-31.5","7","",,NA,"15.7","8",NA,"56.0","5","",,NA,"684.1","0.0","6048232"
"THUNDER BAY","48.372","-89.322","ON","-13.7","7",NA,"4.7","7","-31.7","7","",,NA,"14.8","7",NA,"","3","",,NA,"761.9","0.0","6048260"
"THUNDER BAY BURWOOD","48.414","-89.278","ON","-10.9","15",NA,"5.0","15","-31.0","15","21.0","15",NA,"19.4","15",NA,"","5","","",NA,"462.5","0.0","6048266"
"THUNDER BAY CS","48.369","-89.327","ON","-13.1","0",NA,"5.0","0","-31.7","0","",,NA,"26.5","0",NA,"20.0","7","",,NA,"963.8","0.0","6048268"
"UPSALA (AUT)","49.033","-90.467","ON","-15.8","0",NA,"2.5","0","-36.9","0","",,NA,"48.4","0",NA,"39.0","13","",,NA,"1049.0","0.0","6049095"
"WELCOME ISLAND (AUT)","48.369","-89.119","ON","-11.8","0",NA,"4.4","0","-28.4","0","",,NA,"",,NA,"","","",,NA,"923.0","0.0","6049443"
"LITTLE FLATLAND ISLAND (AUT)","49.690","-88.306","ON","-14.5","1",NA,"2.5","1","-30.6","0","",,NA,"132.9","1",NA,"35.0","19","",,NA,"974.6","0.0","6049470"
"LAKE SUPERIOR PROVINCIAL PARK","47.723","-84.814","ON","-12.7","1",NA,"4.0","1","-38.6","0","",,NA,"68.3","1",NA,"65.0","12","",,NA,"920.8","0.0","6054425"
"SAULT STE MARIE A","46.485","-84.510","ON","-9.8","0",NA,"6.4","0","-32.4","0","58.0","0",NA,"51.0","0",NA,"37.0","11","",,NA,"860.4","0.0","6057591"
"WAWA A","47.967","-84.786","ON","",,NA,"3.8","4","",,"",,NA,"",,NA,"30.0","","",,NA,"","","6059407"
"KILLARNEY (AUT)","45.967","-81.483","ON","-8.5","0",NA,"7.6","0","-27.8","0","",,NA,"",,NA,"","","",,NA,"822.4","0.0","605DJ25"
"CHAPLEAU A","47.820","-83.347","ON","",,NA,"3.3","1","",,"",,NA,"",,NA,"46.0","","",,NA,"","","6061362"
"MASSEY","46.193","-82.025","ON","-10.4","2","0.7","6.0","2","-34.0","2","53.2","2",NA,"53.8","2",NA,"7.0","11","","",NA,"824.7","0.0","6065006"
"MONETVILLE 2","46.215","-80.303","ON","-11.9","9",NA,"9.5","9","-31.5","9","45.6","9",NA,"78.8","9",NA,"10.0","8","","",NA,"657.4","0.0","6065252"
"SUDBURY CLIMATE","46.632","-80.796","ON","-11.9","0",NA,"5.8","0","-30.7","0","",,NA,"36.1","0",NA,"18.0","8","",,NA,"927.3","0.0","6068145"
"SUDBURY A","46.626","-80.798","ON","-11.9","0",NA,"6.3","0","-30.9","0","78.4","0",NA,"72.9","0",NA,"12.0","11","",,NA,"927.6","0.0","6068153"
"BONNER LAKE","49.383","-82.124","ON","-17.1","1",NA,"2.5","1","-36.0","0","59.6","1",NA,"49.3","1",NA,"67.0","11","","",NA,"1052.3","0.0","6070QK6"
"EARLTON A","47.695","-79.849","ON","-14.0","8",NA,"6.5","8","-35.7","8","",,NA,"10.1","10",NA,"","3","",,NA,"735.1","0.0","6072223"
"EARLTON CLIMATE","47.695","-79.849","ON","-14.6","0",NA,"6.7","0","-36.1","0","",,NA,"44.3","0",NA,"9.0","9","",,NA,"1009.5","0.0","6072230"
"KAPUSKASING A","49.412","-82.468","ON","-16.6","0",NA,"2.7","0","-34.5","0","48.0","0",NA,"53.3","0",NA,"63.0","11","",,NA,"1071.8","0.0","6073976"
"KAPUSKASING CDA ON","49.406","-82.444","ON","-16.8","0",NA,"3.0","0","-39.8","0","",,NA,"31.2","0",NA,"56.0","9","",,NA,"1078.5","0.0","6073980"
