"Environment and Climate Change Canada"
"Monthly Values for January - 2006"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BIG TROUT LAKE READAC","53.816","-89.896","ON","-17.0","0",NA,"2.1","0","-33.4","0","",,NA,"18.0","1",NA,"","6","",,NA,"1085.0","0.0","6010739"
"EAR FALLS (AUT)","50.631","-93.221","ON","-9.7","0",NA,"4.6","0","-22.9","0","",,NA,"22.0","0",NA,"55.0","6","",,NA,"859.9","0.0","6012199"
"LANSDOWNE HOUSE (AUT)","52.196","-87.936","ON","-15.9","0",NA,"4.9","0","-36.3","0","",,NA,"2.7","0",NA,"19.0","1","",,NA,"1051.0","0.0","6014353"
"PEAWANUCK (AUT)","54.983","-85.433","ON","-19.6","0",NA,"2.7","0","-36.4","0","",,NA,"",,NA,"","","",,NA,"1166.9","0.0","6016295"
"PICKLE LAKE (AUT)","51.449","-90.218","ON","-12.9","0",NA,"3.6","0","-34.4","0","",,NA,"0.0","17",NA,"45.0","0","","",NA,"958.9","0.0","6016525"
"PICKLE LAKE A","51.446","-90.214","ON","-12.9","0","6.4","3.8","0","-34.1","0","47.2","0","128.0","28.8","0","107.0","46.0","8","",,NA,"957.1","0.0","6016527"
"RED LAKE A","51.067","-93.793","ON","-11.2","0","7.1","2.8","0","-33.1","0","47.4","0","133.0","35.8","0","134.0","56.0","8","51.1","0","49.0","904.6","0.0","6016975"
"BARWICK","48.633","-93.967","ON","-6.2","0","9.1","7.5","0","-24.0","0","28.7","0","97.0","28.9","0","97.0","","7","","",NA,"751.1","0.0","6020559"
"ATIKOKAN (AUT)","48.761","-91.628","ON","-8.1","0",NA,"6.5","0","-26.7","0","",,NA,"22.7","0",NA,"20.0","8","",,NA,"809.2","0.0","6020LPQ"
"FORT FRANCES A","48.650","-93.433","ON","-7.0","0","8.3","7.0","0","-27.0","0","26.0","0","75.0","26.0","0","75.0","","10","","",NA,"774.0","0.0","6022476"
"MINE CENTRE SOUTHWEST","48.760","-92.623","ON","-8.5","0",NA,"7.0","0","-27.5","0","35.1","0",NA,"35.1","0",NA,"31.0","12","","",NA,"821.2","0.0","6025205"
"DRYDEN 'A' (AUT)","49.832","-92.744","ON","-9.3","0",NA,"5.3","0","-26.9","0","",,NA,"23.0","0",NA,"","7","",,NA,"847.4","0.0","6032120"
"GRASSY NARROWS","50.141","-93.984","ON","",,NA,"",,"",,"27.0","5",NA,"27.0","5",NA,"42.0","9","","",NA,"","","6033505"
"KENORA A","49.790","-94.365","ON","-8.3","0","7.6","4.8","0","-21.5","0","33.2","0","117.0","29.0","0","113.0","32.0","9","",,NA,"816.8","0.0","6034075"
"SIOUX LOOKOUT A","50.117","-91.900","ON","-10.1","0","7.3","5.0","0","-27.2","0","52.3","0","147.0","52.9","0","152.0","44.0","13","",,NA,"869.7","0.0","6037775"
"ARMSTRONG (AUT)","50.294","-88.905","ON","-13.1","1",NA,"5.7","1","-33.3","0","",,NA,"",,NA,"","","",,NA,"932.7","0.0","6040325"
"CAMERON FALLS (AUT)","49.154","-88.345","ON","-9.2","0",NA,"9.5","0","-21.8","0","",,NA,"32.3","0",NA,"41.0","10","",,NA,"842.4","0.0","6041110"
"GERALDTON A","49.783","-86.931","ON","-12.9","0","5.7","5.4","0","-29.8","0","41.6","0","97.0","29.4","0","88.0","54.0","10","",,NA,"958.2","0.0","6042716"
"PUKASKWA (AUT)","48.588","-86.295","ON","-7.3","0",NA,"5.1","0","-20.0","0","",,NA,"172.5","0",NA,"","16","",,NA,"782.9","0.0","6046767"
"TERRACE BAY A","48.817","-87.100","ON","-9.1","0",NA,"5.1","0","-26.9","0","66.3","0",NA,"66.3","0",NA,"43.0","13","","",NA,"838.7","0.0","6048231"
"THUNDER BAY AWOS","48.367","-89.317","ON","-7.7","0",NA,"9.5","0","-26.2","0","",,NA,"29.5","0",NA,"","11","",,NA,"797.0","0.0","6048264"
"THUNDER BAY BURWOOD","48.414","-89.278","ON","-6.5","0",NA,"11.0","0","-23.0","0","58.3","0",NA,"46.0","0",NA,"38.0","9","","",NA,"758.4","0.0","6048266"
"THUNDER BAY CS","48.369","-89.327","ON","-7.6","0",NA,"9.4","0","-26.0","0","",,NA,"25.9","0",NA,"38.0","8","",,NA,"793.0","0.0","6048268"
"UPSALA (AUT)","49.033","-90.467","ON","-9.1","0",NA,"6.3","0","-27.5","0","",,NA,"37.8","0",NA,"50.0","10","",,NA,"840.5","0.0","6049095"
"WELCOME ISLAND (AUT)","48.369","-89.119","ON","-4.6","18",NA,"9.9","18","-15.4","16","",,NA,"",,NA,"","","",,NA,"293.5","0.0","6049443"
"LITTLE FLATLAND ISLAND (AUT)","49.690","-88.306","ON","-10.3","23",NA,"6.2","23","-23.3","22","",,NA,"4.6","25",NA,"","2","",,NA,"226.3","0.0","6049470"
"KATATOTA ISLAND (AUT)","49.713","-88.332","ON","-10.6","9",NA,"0.1","9","-25.4","9","",,NA,"9.4","13",NA,"","5","",,NA,"628.6","0.0","604M002"
"THUNDER BAY A FIREHALL","48.367","-89.317","ON","",,NA,"",,"",,"52.8","0",NA,"50.2","0",NA,"52.0","10","","",NA,"","","604S003"
"ELLIOT LAKE A","46.351","-82.561","ON","-5.7","0",NA,"6.2","0","-18.4","0","83.6","0",NA,"85.0","0",NA,"40.0","9","",,NA,"734.7","0.0","6052259"
"SAULT STE MARIE A","46.483","-84.509","ON","-4.3","0","5.7","6.9","0","-20.2","0","61.3","0","76.0","50.3","0","78.0","30.0","8","",,NA,"689.8","0.0","6057592"
"WAWA A","47.967","-84.783","ON","-7.2","0","6.8","6.8","0","-24.3","0","57.2","0","79.0","54.2","0","97.0","28.0","11","",,NA,"781.7","0.0","6059D09"
"KILLARNEY (AUT)","45.967","-81.483","ON","-4.2","0",NA,"4.7","0","-18.8","0","",,NA,"",,NA,"","","",,NA,"689.1","0.0","605DJ25"
"CHAPLEAU A","47.820","-83.347","ON","-9.2","0","6.4","5.8","0","-30.5","0","66.2","0","119.0","65.0","0","125.0","59.0","14","",,NA,"841.8","0.0","6061361"
"MASSEY","46.193","-82.025","ON","-5.7","0","5.4","6.0","0","-22.5","0","47.2","0","93.0","62.0","0","105.0","40.0","12","","",NA,"736.2","0.0","6065006"
"SUDBURY A","46.625","-80.799","ON","-7.3","0","5.7","3.6","0","-22.4","0","91.6","0","154.0","99.0","0","159.0","50.0","12","75.4","0","87.0","783.8","0.0","6068150"
"EARLTON AWOS","47.695","-79.849","ON","-9.8","0",NA,"4.1","0","-30.8","0","",,NA,"36.0","0",NA,"","15","",,NA,"862.6","0.0","6072224"
"KAPUSKASING A","49.414","-82.468","ON","-12.0","0","5.9","5.9","0","-30.9","0","66.6","0","120.0","56.6","0","118.0","68.0","13","",,NA,"930.4","0.0","6073975"
"KAPUSKASING CDA ON","49.406","-82.444","ON","-12.7","0",NA,"5.3","0","-33.2","0","",,NA,"34.8","7",NA,"35.0","8","",,NA,"952.0","0.0","6073980"
"KIRKLAND LAKE CS","48.150","-80.000","ON","-10.5","0",NA,"4.8","0","-30.5","0","",,NA,"59.0","0",NA,"33.0","15","",,NA,"883.0","0.0","6074211"
"MOOSONEE A","51.291","-80.608","ON","-15.0","0",NA,"6.2","0","-32.7","0","",,NA,"20.0","0",NA,"","6","",,NA,"1022.3","0.0","6075428"
"MOOSONEE RCS","51.292","-80.618","ON","-14.6","0",NA,"6.5","0","-31.4","0","",,NA,"47.1","0",NA,"35.0","12","",,NA,"1011.0","0.0","6075435"
"NAGAGAMI (AUT)","49.747","-84.164","ON","-13.3","0",NA,"6.5","0","-34.7","0","",,NA,"36.3","0",NA,"65.0","8","",,NA,"971.8","0.0","6075543"
