"Environment and Climate Change Canada"
"Monthly Values for January - 1999"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BIG TROUT LAKE READAC","53.816","-89.896","ON","-22.6","0",NA,"1.9","0","-40.1","0","",,NA,"6.5","0",NA,"","2","",,NA,"1259.8","0.0","6010739"
"EAR FALLS (AUT)","50.631","-93.221","ON","-16.9","0",NA,"7.0","0","-35.8","0","",,NA,"17.1","0",NA,"","4","","",NA,"1082.0","0.0","6012199"
"LANSDOWNE HOUSE (AUT)","52.196","-87.936","ON","-18.4","0",NA,"5.4","0","-34.3","0","1.2","30",NA,"2.8","16",NA,"15.0","0","",,NA,"1129.3","0.0","6014353"
"PEAWANUCK (AUT)","54.983","-85.433","ON","-24.0","0",NA,"-2.3","0","-40.7","0","7.4","25",NA,"0.0","2",NA,"36.0","0","",,NA,"1303.3","0.0","6016295"
"PICKLE LAKE A","51.446","-90.214","ON","-19.6","0","-0.3","4.7","0","-39.8","0","16.2","0","44.0","12.4","0","46.0","11.0","3","",,NA,"1164.7","0.0","6016527"
"RED LAKE A","51.067","-93.793","ON","-18.5","0","-0.2","4.3","0","-38.3","0","16.3","0","46.0","12.2","0","46.0","28.0","4","124.2","0","120.0","1130.6","0.0","6016975"
"ATIKOKAN MARMION","48.800","-91.583","ON","-18.9","3",NA,"7.5","2","-38.5","2","12.2","0",NA,"19.0","0",NA,"","5","","",NA,"1033.0","0.0","6020384"
"BARWICK","48.633","-93.967","ON","-15.6","0","-0.3","8.0","0","-37.5","0","7.4","0","25.0","7.4","0","25.0","22.0","3","","",NA,"1041.8","0.0","6020559"
"FORT FRANCES A","48.650","-93.433","ON","-16.0","0","-0.8","7.0","0","-38.5","0","7.2","0","21.0","7.2","0","21.0","","4","","",NA,"1055.2","0.0","6022476"
"MINE CENTRE","48.767","-92.617","ON","-15.9","0","-0.6","7.5","0","-38.0","0","11.6","0","38.0","11.6","0","37.0","16.0","5","","",NA,"1052.4","0.0","6025203"
"RAINY RIVER","48.717","-94.533","ON","-15.5","0",NA,"4.5","0","-35.0","0","14.0","0",NA,"14.0","0",NA,"28.0","5","","",NA,"1037.9","0.0","6026852"
"STRATTON ROMYN","48.700","-94.167","ON","",,NA,"",,"",,"21.0","0",NA,"21.0","0",NA,"19.0","9","","",NA,"","","6028128"
"EMO RADBOURNE","48.683","-93.833","ON","-16.0","0","0.0","7.0","0","-40.5","0","8.6","0","27.0","8.6","0","26.0","20.0","5","","",NA,"1054.1","0.0","602K300"
"DRYDEN A","49.833","-92.750","ON","-16.8","0","0.0","5.6","0","-37.0","0","13.0","0","43.0","9.6","0","36.0","13.0","4","",,NA,"1078.8","0.0","6032119"
"KENORA A","49.790","-94.365","ON","-16.8","0","-0.8","5.6","0","-32.9","0","32.0","0","113.0","31.8","0","124.0","31.0","7","",,NA,"1078.5","0.0","6034075"
"RAWSON LAKE","49.650","-93.717","ON","-16.4","0","-0.8","6.0","0","-35.0","0","28.5","0","85.0","19.7","0","70.0","27.0","5","97.8","0","115.0","1066.9","0.0","6036904"
"SIOUX LOOKOUT A","50.117","-91.900","ON","-17.8","0","-0.4","5.9","0","-38.3","0","15.2","0","43.0","15.2","0","44.0","12.0","4","",,NA,"1108.9","0.0","6037775"
"ARMSTRONG (AUT)","50.294","-88.905","ON","-17.2","13",NA,"6.5","13","-42.9","1","",,NA,"",,NA,"","","",,NA,"634.4","0.0","6040325"
