"Environment and Climate Change Canada"
"Monthly Values for January - 2000"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BIG TROUT LAKE READAC","53.816","-89.896","ON","-22.0","0",NA,"-0.7","0","-37.1","0","",,NA,"9.5","1",NA,"","6","",,NA,"1239.3","0.0","6010739"
"EAR FALLS (AUT)","50.631","-93.221","ON","-17.1","0",NA,"0.1","0","-35.0","0","",,NA,"18.9","0",NA,"","4","","",NA,"1089.2","0.0","6012199"
"LANSDOWNE HOUSE (AUT)","52.196","-87.936","ON","-23.1","0",NA,"-0.4","0","-45.0","0","5.7","29",NA,"0.6","2",NA,"40.0","0","",,NA,"1275.5","0.0","6014353"
"PEAWANUCK (AUT)","54.983","-85.433","ON","-21.1","19",NA,"-1.2","19","-37.1","19","",,NA,"",,NA,"","","",,NA,"469.0","0.0","6016295"
"PICKLE LAKE A","51.446","-90.214","ON","-18.7","0","0.5","-0.6","0","-35.1","0","33.6","0","91.0","25.6","0","95.0","27.0","9","",,NA,"1138.7","0.0","6016527"
"RED LAKE A","51.067","-93.793","ON","-19.2","0","-0.9","-0.5","0","-37.9","0","54.2","0","153.0","31.8","0","119.0","38.0","6","106.6","0","103.0","1154.5","0.0","6016975"
"ATIKOKAN MARMION","48.800","-91.583","ON","-17.5","5",NA,"0.0","3","-36.0","2","26.8","0",NA,"25.3","0",NA,"","7","","",NA,"924.2","0.0","6020384"
"BARWICK","48.633","-93.967","ON","-15.2","0","0.1","2.5","0","-35.0","0","32.0","0","108.0","32.0","0","108.0","15.0","7","","",NA,"1028.6","0.0","6020559"
"FORT FRANCES A","48.650","-93.433","ON","-15.2","1","0.0","3.0","0","-35.0","1","32.0","0","92.0","32.0","0","92.0","","9","","",NA,"996.3","0.0","6022476"
"MINE CENTRE","48.767","-92.617","ON","-16.1","0","-0.7","2.5","0","-38.5","0","36.0","0","117.0","36.0","0","116.0","33.0","9","","",NA,"1055.6","0.0","6025203"
"RAINY RIVER","48.717","-94.533","ON","-14.5","0",NA,"3.0","0","-31.0","0","4.5","6",NA,"4.5","6",NA,"12.0","2","","",NA,"1007.1","0.0","6026852"
"STRATTON ROMYN","48.700","-94.167","ON","",,NA,"",,"",,"25.8","0",NA,"25.8","0",NA,"21.0","8","","",NA,"","","6028128"
"EMO RADBOURNE","48.683","-93.833","ON","-16.3","1","-0.3","2.0","1","-37.5","0","34.4","0","107.0","34.4","0","106.0","28.0","9","","",NA,"1029.5","0.0","602K300"
"DRYDEN A","49.833","-92.750","ON","-16.3","0","0.5","-0.1","0","-35.0","0","31.9","0","106.0","24.3","0","92.0","26.0","10","",,NA,"1062.5","0.0","6032119"
"DRYDEN 'A' (AUT)","49.832","-92.744","ON","-16.9","0",NA,"0.1","0","-35.1","0","",,NA,"11.5","0",NA,"","5","",,NA,"1082.3","0.0","6032120"
"KENORA A","49.790","-94.365","ON","-16.5","0","-0.6","0.5","0","-32.0","0","29.2","0","103.0","24.8","0","97.0","36.0","8","",,NA,"1070.2","0.0","6034075"
"RAWSON LAKE","49.650","-93.717","ON","-15.9","0","-0.2","-0.5","0","-34.5","0","29.1","0","87.0","26.4","0","93.0","35.0","8","111.0",".5",NA,"1049.5","0.0","6036904"
"SIOUX LOOKOUT A","50.117","-91.900","ON","-17.8","0","-0.5","0.0","0","-36.8","0","41.3","0","116.0","34.1","0","98.0","36.0","8","",,NA,"1110.4","0.0","6037775"
"ARMSTRONG (AUT)","50.294","-88.905","ON","-18.8","5",NA,"0.3","3","-42.3","2","",,NA,"0.0","26",NA,"","0","",,NA,"955.8","0.0","6040325"
"CAMERON FALLS (AUT)","49.154","-88.345","ON","-15.2","0",NA,"1.6","0","-35.8","0","",,NA,"0.0","0",NA,"45.0","0","","",NA,"1030.2","0.0","6041110"
"CARIBOU ISLAND (AUT)","47.333","-85.833","ON","-5.5","0",NA,"3.9","0","-17.2","0","",,NA,"",,NA,"","","",,NA,"728.9","0.0","6041222"
"GERALDTON A","49.783","-86.931","ON","-18.7","0","-0.1","0.3","0","-40.9","0","48.4","0","113.0","29.8","0","89.0","49.0","7","",,NA,"1137.5","0.0","6042716"
"FLINT","48.350","-89.683","ON","-15.7","0","-1.0","1.5","0","-37.5","0","43.0","0","97.0","43.0","0","97.0","","10","","",NA,"1044.9","0.0","6042MJ7"
"HEMLO BATTLE MOUNTAIN","48.700","-85.883","ON","-15.0","0",NA,"2.0","0","-38.0","0","76.8","0",NA,"76.8","0",NA,"56.0","15","","",NA,"1022.6","0.0","6043452"
"LAKEHEAD UNIVERSITY","48.433","-89.267","ON","-13.9","0",NA,"2.5","0","-33.0","0","47.6","0",NA,"31.6","0",NA,"29.0","8","","",NA,"987.4","0.0","6044298"
"PUKASKWA (AUT)","48.588","-86.295","ON","-12.8","0",NA,"1.5","0","-32.4","0","",,NA,"35.7","0",NA,"","11","",,NA,"955.4","0.0","6046767"
"PUKASKWA NATL PARK","48.600","-86.300","ON","-12.0","0",NA,"1.5","0","-32.4","0","",,NA,"",,NA,"","","","",NA,"931.1","0.0","6046770"
"TERRACE BAY A","48.817","-87.100","ON","-14.8","0",NA,"1.5","0","-36.7","0","112.8","0",NA,"77.6","0",NA,"68.0","12","","",NA,"1016.8","0.0","6048231"
"THUNDER BAY A","48.369","-89.327","ON","-16.4","3",NA,"1.1","3","-34.9","2","",,NA,"21.0","3",NA,"","7","",,NA,"963.5","0.0","6048261"
"THUNDER BAY AWOS","48.367","-89.317","ON","-16.4","3",NA,"1.1","3","-34.9","2","",,NA,"21.0","3",NA,"","7","",,NA,"963.5","0.0","6048264"
"TRANQUILLO RIDGE","48.233","-89.517","ON","-14.5","0","-0.7","1.6","0","-34.9","0","88.8","0","144.0","88.8","0","143.0","40.0","11","","",NA,"1006.3","0.0","6048864"
"TROWBRIDGE (AUT)","48.300","-88.867","ON","-9.7","0",NA,"2.1","0","-24.0","0","",,NA,"",,NA,"","","",,NA,"860.0","0.0","6048955"
"UPSALA (AUT)","49.033","-90.467","ON","-15.2","8",NA,"0.0","7","-32.1","8","",,NA,"0.0","7",NA,"","0","",,NA,"763.2","0.0","6049095"
"WHITEFISH LAKE","48.283","-89.917","ON","-15.7","0","-0.9","1.0","0","-36.5","0","62.0","0","117.0","62.0","0","116.0","43.0","10","","",NA,"1045.8","0.0","6049466"
"ELLIOT LAKE A","46.351","-82.561","ON","-12.0","0",NA,"3.0","0","-32.0","0","67.0","9",NA,"63.6","9",NA,"42.0","9","","",NA,"928.7","0.0","6052259"
"SAULT STE MARIE 2","46.533","-84.333","ON","-10.0","0","-0.5","2.5","0","-29.5","0","117.4","0","130.0","129.6","0","133.0","","19","","",NA,"866.6","0.0","6057590"
"SAULT STE MARIE A","46.483","-84.509","ON","-10.8","0","-0.9","2.6","0","-31.9","0","106.1","0","132.0","92.6","0","144.0","30.0","14","",,NA,"893.0","0.0","6057592"
"WAWA A","47.967","-84.783","ON","-14.5","0","-0.5","2.3","0","-36.9","0","100.8","0","140.0","73.0","0","131.0","84.0","15","",,NA,"1008.3","0.0","6059D09"
"KILLARNEY (AUT)","45.967","-81.483","ON","-9.6","0",NA,"3.4","0","-26.6","0","",,NA,"",,NA,"","","",,NA,"856.5","0.0","605DJ25"
"BISCOTASING","47.300","-82.100","ON","",,NA,"",,"",,"107.2","0",NA,"107.2","0",NA,"","12","","",NA,"","","6060773"
"CHAPLEAU A","47.820","-83.347","ON","-16.4","0","-0.8","0.9","0","-40.9","0","95.2","0","171.0","64.7","0","125.0","56.0","11","",,NA,"1066.4","0.0","6061361"
"CONISTON STP","46.483","-80.850","ON","-14.8","10",NA,"4.0","6","-39.0","8","67.0","0","125.0","77.0","0","119.0","","9","","",NA,"689.1","0.0","6061850"
"MASSEY","46.193","-82.025","ON","-12.6","0","-1.5","2.5","0","-39.0","0","44.0","0","87.0","51.6","0","88.0","33.0","14","","",NA,"947.8","0.0","6065006"
"MONETVILLE","46.143","-80.307","ON","-12.3","0","-0.3","4.0","0","-35.0","0","36.2","0","57.0","54.0","0","67.0","25.0","14","","",NA,"938.3","0.0","6065250"
"SUDBURY A","46.625","-80.799","ON","-13.9","0","-0.9","1.5","0","-32.1","0","81.2","0","136.0","77.6","0","125.0","26.0","11","106.4","0","123.0","988.8","0.0","6068150"
"EARLTON A","47.700","-79.850","ON","-17.0","0","-0.8","1.8","0","-37.2","0","93.2","0","199.0","91.0","0","193.0","55.0","13","",,NA,"1086.0","0.0","6072225"
"ENGLEHART","47.817","-79.900","ON","",,NA,"",,"",,"76.0","0",NA,"76.0","0",NA,"","11","","",NA,"","","6072325"
"KAPUSKASING CDA","49.400","-82.433","ON","-18.2","0","0.3","1.0","0","-40.0","0","51.1","0","96.0","39.4","0","78.0","38.0","12","96.4","0","123.0","1123.6","0.0","6073960"
"KAPUSKASING A","49.414","-82.468","ON","-17.9","0","0.0","1.3","0","-36.5","0","55.2","0","100.0","42.0","0","87.0","78.0","11","",,NA,"1114.3","0.0","6073975"
"MOOSONEE UA","51.267","-80.650","ON","-19.6","0","0.4","2.5","0","-37.0","0","32.0","0","80.0","32.0","0","97.0","27.0","8","102.7","0","110.0","1165.9","0.0","6075425"
"MOOSONEE A","51.291","-80.608","ON","-19.9","0",NA,"2.0","0","-36.0","0","",,NA,"17.0","0",NA,"","7","",,NA,"1176.3","0.0","6075428"
"NAGAGAMI (AUT)","49.747","-84.164","ON","-19.7","3",NA,"0.1","2","-38.9","3","",,NA,"0.0","14",NA,"","0","",,NA,"1056.0","0.0","6075543"
"PORCUPINE ONT HYDRO","48.467","-81.267","ON","-16.7","0","0.0","2.0","0","-37.0","0","103.0","0","150.0","103.0","0","147.0","","15","","",NA,"1076.5","0.0","6076572"
"TIMMINS VICTOR POWER A","48.570","-81.377","ON","-17.1","0","-0.3","0.9","0","-38.8","0","89.6","0","155.0","67.0","0","129.0","63.0","13","",,NA,"1088.9","0.0","6078285"
"DWIGHT","45.383","-78.900","ON","-11.5","0","0.1","6.0","0","-33.0","0","54.4","0","66.0","75.0","0","70.0","43.0","14","","",NA,"915.6","0.0","6082178"
"FRENCH R CHAUDIERE DAM","46.133","-80.017","ON","-12.1","8",NA,"5.0","5","-32.0","8","22.0","0",NA,"45.2","0",NA,"","11","","",NA,"692.7","0.0","6082612"
"MADAWASKA","45.500","-77.983","ON","-13.7","8","-1.6","6.0","7","-31.0","8","8.5","6",NA,"8.5","8",NA,"","3","","",NA,"728.8","0.0","6084770"
"NORTH BAY A","46.364","-79.423","ON","-13.4","0","-0.8","3.4","0","-33.0","0","54.2","0","83.0","55.8","0","81.0","32.0","11","110.6","0","128.0","972.0","0.0","6085700"
"STURGEON FALLS","46.367","-79.933","ON","",,NA,"",,"",,"31.0","0",NA,"53.2","0",NA,"","12","","",NA,"","","6088144"
"GORE BAY A","45.883","-82.567","ON","-10.8","0",NA,"3.9","0","-33.8","0","",,NA,"41.5","0",NA,"","12","",,NA,"892.2","0.0","6092925"
"GREAT DUCK ISLAND (AUT)","45.633","-82.950","ON","-6.0","0",NA,"4.5","0","-20.3","0","",,NA,"19.8","0",NA,"","3","",,NA,"745.1","0.0","6093005"
"SANDFIELD","45.690","-81.982","ON","-9.9","0",NA,"3.5","0","-30.0","0","62.5","0",NA,"91.3","0",NA,"44.0","14","","",NA,"864.0","0.0","6097426"
"APPLETON","45.186","-76.113","ON","-9.5","0",NA,"9.5","0","-27.5","0","22.0","0",NA,"46.4","0",NA,"7.0","12","","",NA,"852.6","0.0","6100285"
"AVONMORE","45.170","-74.971","ON","-9.3","2","1.1","9.5","1","-29.0","1","40.2","0","79.0","78.2","0","101.0","","15","","",NA,"791.0","0.0","6100398"
"BROCKVILLE PCC","44.600","-75.667","ON","-7.7","0","0.1","12.0","0","-26.5","0","27.2","0","55.0","67.2","0","86.0","","10","","",NA,"796.8","0.0","6100971"
"CARDINAL","44.800","-75.367","ON","-8.1","0",NA,"12.0","0","-26.0","0","43.0","0",NA,"78.0","0",NA,"18.0","14","","",NA,"810.3","0.0","6101200"
"CHALK RIVER AECL","46.050","-77.367","ON","-11.8","0","0.0","4.5","0","-29.5","0","30.4","0","72.0","39.6","0","72.0","22.0","8","","",NA,"923.3","0.0","6101335"
"COMBERMERE","45.367","-77.617","ON","-10.6","0","1.0","8.5","0","-27.0","0","25.5","0","56.0","57.4","0","91.0","16.0","9","","",NA,"886.7","0.0","6101820"
"CORNWALL","45.016","-74.749","ON","-8.1","0","0.4","12.0","0","-26.0","0","29.8","0","63.0","84.0","0","110.0","12.0","12","","",NA,"810.2","0.0","6101874"
"DALHOUSIE MILLS","45.317","-74.467","ON","-10.7","0","0.4","8.5","0","-31.0","0","49.8","0","84.0","91.0","0","99.0","","15","","",NA,"890.2","0.0","6101958"
"GODFREY","44.567","-76.633","ON","-8.6","0","-0.2","10.5","0","-29.0","0","19.6","0","43.0","55.2","0","68.0","13.0","14","","",NA,"825.3","0.0","6102857"
"DRUMMOND CENTRE","45.032","-76.253","ON","-9.1","0","0.6","8.5","0","-27.5","0","20.4","0","47.0","52.2","0","77.0","12.0","9","","",NA,"840.9","0.0","6102J13"
"GRENADIER ISLAND","44.417","-75.850","ON","-6.9","0",NA,"12.2","0","-25.3","0","",,NA,"",,NA,"","","",,NA,"773.0","0.0","6103024"
"HARTINGTON IHD","44.428","-76.690","ON","-8.3","0","0.1","10.0","0","-28.0","0","28.0","0","65.0","74.2","0","99.0","14.0","12","","",NA,"814.5","0.0","6103367"
"KEMPTVILLE CS","45.000","-75.633","ON","-8.9","0",NA,"8.9","0","-26.6","0","",,NA,"51.9","0",NA,"","9","","",NA,"834.4","0.0","6104027"
"KINGSTON PUMPING STATION","44.244","-76.481","ON","-7.3","0","-0.3","11.5","0","-25.0","0","31.0","0","63.0","73.6","0","90.0","16.0","13","","",NA,"784.6","0.0","6104175"
"LYNDHURST SHAWMERE","44.517","-76.083","ON","-8.5","0","0.0","10.5","0","-29.0","0","18.4","0","46.0","59.1","0","83.0","12.0","13","","",NA,"820.1","0.0","6104725"
"MORRISBURG","44.924","-75.188","ON","-8.6","0","1.0","11.0","0","-29.0","0","16.6","0","38.0","50.4","0","70.0","","11","","",NA,"823.9","0.0","6105460"
"OAK VALLEY","45.001","-75.365","ON","-8.7","0",NA,"9.0","0","-28.0","0","23.0","0",NA,"53.0","0",NA,"","8","","",NA,"828.5","0.0","6105730"
"OMPAH","44.974","-76.856","ON","-9.9","0",NA,"8.5","0","-29.0","0","26.5","0",NA,"52.8","0",NA,"17.0","12","","",NA,"864.6","0.0","6105760"
"OMPAH-SEITZ","45.054","-76.784","ON","-10.2","0",NA,"8.0","0","-28.0","0","24.2","0",NA,"47.8","0",NA,"14.0","11","","",NA,"874.9","0.0","6105762"
"OTTAWA CDA","45.383","-75.717","ON","-9.6","0","0.5","9.6","0","-26.5","0","23.3","0","53.0","48.5","0","77.0","10.0","10","107.5","0","108.0","856.0","0.0","6105976"
"OTTAWA MACDONALD-CARTIER INT'L  A","45.323","-75.669","ON","-10.2","0","0.1","8.4","0","-27.1","0","36.4","0","68.0","55.4","0","85.0","17.0","11","",,NA,"875.3","0.0","6106000"
"PEMBROKE SE","45.750","-76.983","ON","-11.1","0",NA,"8.0","0","-29.0","0","0.0","8",NA,"13.1","9",NA,"13.0","2","","",NA,"901.0","0.0","6106369"
"PETAWAWA A","45.950","-77.317","ON","-12.2","0",NA,"5.0","0","-29.3","0","",,NA,"33.0","1",NA,"","6","",,NA,"936.7","0.0","6106398"
"ROLPHTON","46.183","-77.650","ON","-12.3","0",NA,"3.0","0","-30.0","0","32.5","0",NA,"36.3","0",NA,"18.0","7","","",NA,"938.1","0.0","6107182"
