"Environment and Climate Change Canada"
"Monthly Values for January - 1991"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BIG TROUT LAKE","53.833","-89.867","ON","-26.9","0",NA,"-8.4","0","-42.3","0","20.4","0",NA,"17.8","0",NA,"50.0","6","122.9","0",NA,"1392.4","0.0","6010738"
"EAR FALLS","50.633","-93.217","ON","-20.5","0",NA,"0.0","0","-38.0","0","36.6","0",NA,"36.6","0",NA,"","10","","",NA,"1192.2","0.0","6012198"
"PICKLE LAKE A","51.449","-90.218","ON","-23.4","0","-4.1","-5.7","0","-38.1","0","32.0","0","87.0","30.9","0","115.0","38.0","9","","",NA,"1282.0","0.0","6016527"
"RED LAKE A","51.067","-93.793","ON","-22.2","0","-3.9","-0.5","0","-38.9","0","37.0","0","104.0","33.0","0","123.0","59.0","9","137.1","0","132.0","1245.2","0.0","6016975"
"BARWICK","48.633","-93.967","ON","-19.2","0","-3.9","2.5","0","-41.0","0","27.4","0","93.0","27.4","0","92.0","","9","","",NA,"1153.0","0.0","6020559"
"DEVLIN","48.517","-93.750","ON","",,NA,"",,"",,"31.0","0",NA,"31.0","0",NA,"","8","","",NA,"","","6022010"
"DEVLIN BELLAMY","48.633","-93.667","ON","",,NA,"",,"",,"25.0","0",NA,"25.0","0",NA,"","8","","",NA,"","","6022011"
"FORT FRANCES","48.617","-93.417","ON","-17.0","0",NA,"2.0","0","-36.0","0","36.8","0",NA,"36.8","0",NA,"46.0","7","","",NA,"1083.9","0.0","6022475"
"FORT FRANCES A","48.650","-93.433","ON","-18.0","0","-2.8","2.5","0","-39.5","0","35.0","0","101.0","35.0","0","101.0","","9","","",NA,"1116.8","0.0","6022476"
"MINE CENTRE","48.767","-92.617","ON","-18.3","0","-2.9","2.5","0","-40.0","0","40.8","0","133.0","40.8","0","131.0","52.0","13","","",NA,"1124.1","0.0","6025203"
"SLEEMAN","48.717","-94.417","ON","-18.8","0",NA,"2.0","0","-41.0","0","23.4","0",NA,"23.4","0",NA,"28.0","5","","",NA,"1142.3","0.0","6027825"
"STRATTON ROMYN","48.700","-94.167","ON","",,NA,"",,"",,"27.2","0",NA,"27.2","0",NA,"28.0","10","","",NA,"","","6028128"
"EMO HOSKINS","48.750","-93.850","ON","",,NA,"",,"",,"36.0","0",NA,"36.0","0",NA,"","7","","",NA,"","","602B300"
"EMO RADBOURNE","48.683","-93.833","ON","-19.5","0","-3.5","2.0","0","-42.5","0","33.2","0","103.0","33.2","0","102.0","","6","","",NA,"1162.7","0.0","602K300"
"DRYDEN","49.783","-92.833","ON","-19.6","0","-2.2","0.5","0","-40.0","0","34.0","0","125.0","34.0","0","125.0","44.0","10","","",NA,"1165.1","0.0","6032117"
"DRYDEN A","49.833","-92.750","ON","-19.3","0","-2.6","-0.3","0","-37.7","0","27.2","0","90.0","27.4","0","103.0","34.0","10","","",NA,"1157.8","0.0","6032119"
"IGNACE TCPL 58","49.483","-92.000","ON","-19.5","3",NA,"0.0","2","-36.0","2","8.0","8",NA,"8.0","8",NA,"","4","","",NA,"1051.0","0.0","6033697"
"KENORA A","49.790","-94.365","ON","-19.5","0","-3.5","0.8","0","-34.6","0","25.8","0","91.0","25.4","0","99.0","35.0","8","","",NA,"1162.5","0.0","6034075"
"RAWSON LAKE","49.650","-93.717","ON","-19.5","0","-3.8","0.0","0","-35.0","0","35.0","0","104.0","30.3","0","107.0","","9","112.6","0","133.0","1161.0","0.0","6036904"
"SIOUX LOOKOUT A","50.117","-91.900","ON","-20.5","0","-3.2","0.1","0","-38.8","0","40.7","0","115.0","40.1","0","115.0","61.0","10","","",NA,"1194.6","0.0","6037775"
"ABITIBI CAMP 230","49.350","-89.367","ON","-19.9","11",NA,"1.0","9","-41.0","9","41.0","0",NA,"41.0","0",NA,"","9","","",NA,"758.6","0.0","6040020"
"ARMSTRONG JELLIEN","50.250","-89.100","ON","-22.4","0",NA,"-2.0","0","-43.0","0","45.0","0",NA,"45.0","0",NA,"53.0","13","","",NA,"1251.9","0.0","6040330"
"CAMERON FALLS","49.150","-88.350","ON","-19.2","0","-3.0","-2.0","0","-39.0","0","82.0","0","148.0","82.0","0","148.0","","15","","",NA,"1151.9","0.0","6041109"
"GERALDTON A","49.783","-86.931","ON","-22.2","0","-3.5","0.7","0","-41.8","0","39.6","0","93.0","29.8","0","89.0","50.0","9","","",NA,"1244.7","0.0","6042716"
"FLINT","48.350","-89.683","ON","-17.7","0","-3.0","3.5","0","-40.0","0","44.0","0","99.0","44.0","0","99.0","","15","","",NA,"1107.0","0.0","6042MJ7"
"MANITOUWADGE","49.150","-85.800","ON","-19.7","0",NA,"1.5","0","-38.5","0","60.2","0",NA,"60.2","0",NA,"","12","","",NA,"1169.1","0.0","6044903"
"MARATHON A","48.756","-86.344","ON","-17.7","0",NA,"1.5","0","-36.5","0","91.2","0",NA,"91.2","0",NA,"","13","","",NA,"1106.9","0.0","6044961"
"PUKASKWA NATL PARK","48.600","-86.300","ON","-15.6","0",NA,"2.5","0","-37.0","0","75.6","0",NA,"75.6","0",NA,"58.0","18","","",NA,"1041.3","0.0","6046770"
"TERRACE BAY","48.800","-87.100","ON","-17.0","0",NA,"2.0","0","-37.0","0","73.4","0",NA,"73.4","0",NA,"","12","","",NA,"1085.5","0.0","6048230"
"THUNDER BAY A","48.369","-89.327","ON","-17.2","0",NA,"3.8","0","-35.5","0","44.0","0",NA,"26.4","0",NA,"37.0","6","134.6","0",NA,"1091.9","0.0","6048261"
"WHITEFISH LAKE","48.283","-89.917","ON","-17.8","0","-3.0","2.5","0","-39.5","0","52.8","0","100.0","52.8","0","99.0","60.0","12","","",NA,"1111.0","0.0","6049466"
"BAR RIVER","46.433","-84.050","ON","-12.2","2",NA,"3.0","1","-31.0","1","0.0","18",NA,"0.0","18",NA,"","0","","",NA,"876.6","0.0","6050NNP"
"ELLIOT LAKE STANLEIGH","46.417","-82.650","ON","-12.0","0",NA,"1.5","0","-31.0","0","37.7","0",NA,"37.7","0",NA,"34.0","10","","",NA,"930.4","0.0","6052268"
"HORNEPAYNE A","49.200","-84.767","ON","-21.0","1",NA,"1.0","1","-40.0","0","47.4","0",NA,"47.4","0",NA,"","12","","",NA,"1169.6","0.0","6053575"
"MISSISSAGI ONT HYDRO","46.433","-83.383","ON","-12.2","0",NA,"2.5","0","-31.0","0","45.4","0",NA,"45.4","0",NA,"","14","","",NA,"935.1","0.0","6055210"
"MONTREAL FALLS","47.267","-84.433","ON","-12.3","0",NA,"1.5","0","-33.0","0","183.6","0",NA,"183.6","0",NA,"","22","","",NA,"938.0","0.0","6055302"
"SAULT STE MARIE 2","46.533","-84.333","ON","-10.5","0","-1.1","2.5","0","-24.5","0","80.6","0","89.0","80.8","0","83.0","","17","","",NA,"884.9","0.0","6057590"
"SAULT STE MARIE A","46.483","-84.509","ON","-10.9","0","-0.9","2.7","0","-27.7","0","74.4","0","93.0","41.9","0","65.0","20.0","12","60.4","0","83.0","895.1","0.0","6057592"
"WAWA A","47.967","-84.783","ON","-15.5","0","-1.5","1.3","0","-36.0","0","74.8","0","104.0","55.1","0","99.0","60.0","12","","",NA,"1037.5","0.0","6059D09"
"BISCOTASING","47.300","-82.100","ON","",,NA,"",,"",,"44.0","0",NA,"44.0","0",NA,"","12","","",NA,"","","6060773"
"CHAPLEAU A","47.820","-83.347","ON","-16.4","1","-0.8","1.0","0","-38.0","1","71.2","0","128.0","71.2","0","137.0","","16","","",NA,"1031.4","0.0","6061361"
"CONISTON STP","46.483","-80.850","ON","-13.2","8",NA,"2.5","4","-38.0","7","49.0","0","92.0","49.0","0","76.0","","15","","",NA,"716.9","0.0","6061850"
"GOGAMA TREE NURSERY","47.683","-81.717","ON","-16.4","0",NA,"1.0","0","-42.5","0","43.0","0",NA,"43.0","0",NA,"47.0","11","","",NA,"1066.1","0.0","6062860"
"LIVELY","46.433","-81.150","ON","-12.8","0",NA,"2.0","0","-33.0","0","63.8","0",NA,"64.8","0",NA,"41.0","14","","",NA,"954.5","0.0","6064460"
"MASSEY","46.183","-82.017","ON","-11.2","3","-0.1","3.0","3","-33.5","0","33.2","0","65.0","33.2","0","56.0","","11","","",NA,"818.6","0.0","6065006"
"MONETVILLE","46.150","-80.300","ON","-13.0","7","-1.1","2.0","5","-35.5","5","71.8","0","114.0","72.2","0","90.0","","14","","",NA,"744.6","0.0","6065250"
"SUDBURY A","46.617","-80.800","ON","-13.2","0","-0.2","1.7","0","-29.9","0","60.0","0","101.0","50.0","0","80.0","49.0","14","87.3","0","101.0","966.3","0.0","6068150"
"SUDBURY SCIENCE NORTH","46.467","-81.000","ON","-13.1","2",NA,"2.0","2","-35.5","1","19.1","5",NA,"19.7","4",NA,"","9","91.1","0",NA,"900.9","0.0","6068158"
"WAHNAPITAE-STOKES","46.433","-80.717","ON","-13.6","0",NA,"3.0","0","-40.0","0","26.6","8",NA,"26.6","8",NA,"","8","","",NA,"980.8","0.0","6069197"
"WARREN","46.433","-80.317","ON","-13.8","0",NA,"1.5","0","-41.0","0","68.2","0",NA,"68.6","0",NA,"50.0","15","","",NA,"984.5","0.0","6069K90"
"BONNER LAKE","49.383","-82.124","ON","-20.9","0",NA,"0.0","0","-40.0","0","46.4","0",NA,"46.4","0",NA,"51.0","13","","",NA,"1206.5","0.0","6070QK6"
"COCHRANE","49.067","-81.033","ON","-20.7","0",NA,"0.0","0","-40.0","0","54.8","0",NA,"54.8","0",NA,"","15","","",NA,"1199.5","0.0","6071712"
"DYMOND ONT HYDRO","47.517","-79.683","ON","",,NA,"",,"",,"51.2","0",NA,"51.2","0",NA,"","15","","",NA,"","","6072183"
"EARLTON A","47.700","-79.850","ON","-17.4","0","-1.1","1.3","0","-39.6","0","45.3","0","97.0","39.6","0","84.0","28.0","10","","",NA,"1095.9","0.0","6072225"
"ENGLEHART","47.817","-79.900","ON","",,NA,"",,"",,"62.0","0",NA,"62.0","0",NA,"50.0","13","","",NA,"","","6072325"
"FORT ALBANY","52.217","-81.667","ON","-26.3","0",NA,"-9.0","0","-41.5","0","1.0","9",NA,"1.0","9",NA,"","1","","",NA,"1373.5","0.0","6072460"
"IROQUOIS FALLS","48.750","-80.667","ON","-20.8","0",NA,"1.0","0","-40.0","0","44.2","0",NA,"44.2","0",NA,"","13","","",NA,"1202.3","0.0","6073810"
"ISLAND FALLS","49.583","-81.383","ON","-22.5","0","-3.2","-2.5","0","-45.0","0","49.0","0","86.0","49.0","0","86.0","50.0","13","","",NA,"1256.7","0.0","6073840"
"KAPUSKASING CDA","49.400","-82.433","ON","-21.4","0","-2.8","0.5","0","-40.0","0","40.8","0","76.0","37.8","0","74.0","26.0","11","95.7","0","122.0","1220.1","0.0","6073960"
"KAPUSKASING A","49.414","-82.468","ON","-21.1","0","-3.2","0.4","0","-37.3","0","52.8","0","95.0","45.9","0","95.0","68.0","14","","",NA,"1211.9","0.0","6073975"
"KIRKLAND LAKE","48.150","-80.000","ON","-17.9","0",NA,"0.0","0","-42.5","0","72.6","0",NA,"72.6","0",NA,"","14","","",NA,"1113.0","0.0","6074209"
"MATHESON ONT HYDRO","48.533","-80.467","ON","",,NA,"",,"",,"69.0","0",NA,"69.0","0",NA,"","13","","",NA,"","","6075013"
"MATTICE TCPL","49.600","-83.167","ON","-22.6","0",NA,"1.0","0","-42.5","0","47.8","0",NA,"47.8","0",NA,"","13","","",NA,"1259.1","0.0","6075024"
"MOOSONEE UA","51.267","-80.650","ON","-24.6","0","-4.6","-6.6","0","-40.6","0","29.2","0","73.0","26.0","0","79.0","57.0","9","130.3","0","139.0","1321.2","0.0","6075425"
"PORCUPINE ONT HYDRO","48.467","-81.267","ON","-18.0","0","-1.3","1.5","0","-38.0","0","85.6","0","125.0","85.6","0","122.0","","14","","",NA,"1117.0","0.0","6076572"
"SMOKY FALLS","50.067","-82.167","ON","-21.3","0","-2.6","-3.0","0","-38.0","0","41.2","0","71.0","41.2","0","71.0","","11","","",NA,"1219.5","0.0","6077845"
"TIMMINS A","48.567","-81.383","ON","-19.1","0","-2.2","1.3","0","-38.4","0","43.9","0","76.0","38.7","0","75.0","53.0","10","","",NA,"1149.3","0.0","6078285"
"BONFIELD","46.217","-79.133","ON","-13.5","0",NA,"2.5","0","-36.5","0","80.2","0",NA,"80.2","0",NA,"57.0","19","","",NA,"977.7","0.0","6080HB6"
"DWIGHT","45.383","-78.900","ON","-11.6","0","0.0","3.0","0","-35.0","0","125.8","0","152.0","127.4","0","119.0","82.0","20","","",NA,"919.1","0.0","6082178"
"FRENCH R CHAUDIERE DAM","46.133","-80.017","ON","-11.7","0",NA,"3.0","0","-34.0","0","80.0","0",NA,"80.0","0",NA,"","16","","",NA,"921.0","0.0","6082612"
"MADAWASKA","45.500","-77.983","ON","-12.7","0","-0.6","3.0","0","-39.0","0","59.0","0","128.0","59.0","0","101.0","","10","","",NA,"951.8","0.0","6084770"
"NORTH BAY A","46.364","-79.423","ON","-12.7","0","-0.2","1.3","0","-30.2","0","79.4","0","122.0","60.4","0","88.0","47.0","15","94.9","0","110.0","952.9","0.0","6085700"
"STURGEON FALLS","46.367","-79.933","ON","",,NA,"",,"",,"63.2","0",NA,"63.2","0",NA,"","18","","",NA,"","","6088144"
"GORE BAY A","45.883","-82.567","ON","-9.3","0",NA,"3.3","0","-25.1","0","55.6","0",NA,"28.6","0",NA,"35.0","11","","",NA,"847.4","0.0","6092925"
"SOUTH BAYMOUTH","45.583","-82.017","ON","-8.2","0",NA,"3.5","0","-25.0","0","69.4","0",NA,"72.8","0",NA,"","17","75.2","0",NA,"810.8","0.0","6097915"
"ARNPRIOR GRANDON","45.417","-76.367","ON","-11.4","0","0.1","3.0","0","-33.0","0","46.0","0","123.0","46.0","0","81.0","51.0","10","","",NA,"910.5","0.0","6100345"
"AVONMORE","45.170","-74.971","ON","-10.2","0","0.2","4.5","0","-30.0","0","68.8","0","136.0","77.8","0","100.0","25.0","14","","",NA,"874.4","0.0","6100398"
"BROCKVILLE PCC","44.600","-75.667","ON","-7.8","0","0.1","5.0","0","-25.0","0","60.2","0","123.0","76.6","0","98.0","","17","","",NA,"798.8","0.0","6100971"
"CARLETON PLACE","45.150","-76.200","ON","-10.2","0",NA,"4.0","0","-33.5","0","67.8","0",NA,"71.8","0",NA,"","13","","",NA,"873.0","0.0","6101250"
"CATARAQUI TS","44.367","-76.617","ON","-8.1","0",NA,"4.0","0","-27.5","0","51.0","0",NA,"62.0","0",NA,"","15","","",NA,"807.9","0.0","6101265"
"CHALK RIVER AECL","46.050","-77.367","ON","-11.8","0","0.0","3.0","0","-34.0","0","41.5","0","98.0","43.5","0","79.0","","12","","",NA,"924.1","0.0","6101335"
"CHATS FALLS","45.467","-76.233","ON","-9.8","0",NA,"4.0","0","-32.5","0","56.6","0",NA,"56.6","0",NA,"","13","","",NA,"861.6","0.0","6101440"
"CHESTERVILLE 2","45.017","-75.200","ON","-9.8","0",NA,"5.0","0","-30.0","0","86.4","0",NA,"94.4","0",NA,"","13","","",NA,"863.0","0.0","6101502"
"CLAYBANK","45.417","-76.400","ON","",,NA,"",,"",,"57.2","0",NA,"58.0","0",NA,"","11","","",NA,"","","6101555"
