"Environment and Climate Change Canada"
"Monthly Values for January - 2003"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BIG TROUT LAKE READAC","53.816","-89.896","ON","-22.6","1",NA,"1.2","1","-37.6","0","",,NA,"10.0","2",NA,"","5","",,NA,"1218.9","0.0","6010739"
"EAR FALLS (AUT)","50.631","-93.221","ON","-17.4","0",NA,"6.3","0","-35.2","0","",,NA,"9.0","0",NA,"","2","",,NA,"1096.5","0.0","6012199"
"LANSDOWNE HOUSE (AUT)","52.196","-87.936","ON","-21.0","0",NA,"1.0","0","-38.2","0","",,NA,"5.1","0",NA,"36.0","1","",,NA,"1208.7","0.0","6014353"
"PEAWANUCK (AUT)","54.983","-85.433","ON","-22.1","2",NA,"-4.5","2","-42.1","1","",,NA,"",,NA,"","","",,NA,"1162.3","0.0","6016295"
"PICKLE LAKE A","51.446","-90.214","ON","-19.8","0","-0.6","1.8","0","-35.8","0","25.0","0","68.0","18.6","0","69.0","36.0","6","",,NA,"1172.5","0.0","6016527"
"RED LAKE A","51.067","-93.793","ON","-18.8","0","-0.5","5.9","0","-39.3","0","18.9","0","53.0","11.9","0","44.0","39.0","3","126.3","0","122.0","1139.8","0.0","6016975"
"ATIKOKAN MARMION","48.800","-91.583","ON","-16.3","0",NA,"6.5","0","-33.0","0","19.0","0",NA,"19.0","0",NA,"","5","","",NA,"1063.6","0.0","6020384"
"BARWICK","48.633","-93.967","ON","-15.2","0","0.1","7.5","0","-33.0","0","13.2","0","45.0","13.2","0","44.0","","4","","",NA,"1028.9","0.0","6020559"
"ATIKOKAN (AUT)","48.761","-91.628","ON","-16.1","2",NA,"6.5","2","-34.5","1","0.6","30",NA,"6.7","5",NA,"11.0","1","",,NA,"989.2","0.0","6020LPQ"
"FORT FRANCES A","48.650","-93.433","ON","-15.6","0","-0.3","8.5","0","-32.5","0","17.0","0","49.0","17.0","0","49.0","","6","","",NA,"1041.1","0.0","6022476"
"MINE CENTRE","48.767","-92.617","ON","-16.2","0","-0.9","7.0","0","-34.5","0","13.0","0","42.0","13.0","0","42.0","21.0","5","","",NA,"1061.2","0.0","6025203"
"RAINY RIVER","48.717","-94.533","ON","-14.4","0",NA,"9.0","0","-30.5","0","9.0","0",NA,"9.0","0",NA,"13.0","3","","",NA,"1004.8","0.0","6026852"
"STRATTON ROMYN","48.700","-94.167","ON","",,NA,"",,"",,"16.8","0",NA,"16.8","0",NA,"16.0","7","","",NA,"","","6028128"
"DRYDEN A","49.833","-92.750","ON","-17.5","0","-0.7","6.7","0","-35.4","0","17.2","0","57.0","14.3","0","54.0","35.0","5","",,NA,"1099.8","0.0","6032119"
"DRYDEN 'A' (AUT)","49.832","-92.744","ON","-16.9","2",NA,"6.7","2","-35.4","1","",,NA,"6.5","2",NA,"","3","",,NA,"1013.3","0.0","6032120"
"KENORA A","49.790","-94.365","ON","-16.3","0","-0.4","9.1","0","-32.1","0","20.6","0","72.0","18.0","0","70.0","25.0","3","",,NA,"1064.8","0.0","6034075"
"RAWSON LAKE","49.650","-93.717","ON","-16.5","0","-0.9","8.0","0","-32.5","0","15.7","0","47.0","16.1","0","57.0","34.0","5","130.2","0","154.0","1070.6","0.0","6036904"
