"Environment and Climate Change Canada"
"Monthly Values for January - 2002"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BIG TROUT LAKE READAC","53.816","-89.896","ON","-23.2","0",NA,"-0.6","0","-42.2","0","",,NA,"10.0","2",NA,"","4","",,NA,"1275.8","0.0","6010739"
"EAR FALLS (AUT)","50.631","-93.221","ON","-14.6","0",NA,"3.0","0","-37.0","0","",,NA,"13.4","0",NA,"","5","",,NA,"1010.4","0.0","6012199"
"LANSDOWNE HOUSE (AUT)","52.196","-87.936","ON","-21.4","0",NA,"-1.2","0","-44.6","0","",,NA,"11.1","0",NA,"25.0","4","",,NA,"1221.6","0.0","6014353"
"PEAWANUCK (AUT)","54.983","-85.433","ON","-25.0","1",NA,"-5.1","1","-44.8","0","",,NA,"",,NA,"","","",,NA,"1289.2","0.0","6016295"
"PICKLE LAKE A","51.446","-90.214","ON","-18.0","0","1.2","-0.1","0","-39.6","0","30.0","0","82.0","22.8","0","85.0","28.0","11","",,NA,"1117.1","0.0","6016527"
"RED LAKE A","51.067","-93.793","ON","-16.3","0","2.0","2.5","0","-41.9","0","36.2","0","102.0","17.3","0","65.0","40.0","6","86.4","0","83.0","1063.2","0.0","6016975"
"ATIKOKAN MARMION","48.800","-91.583","ON","-12.2","0",NA,"2.0","0","-30.0","0","19.6","0",NA,"19.6","0",NA,"","9","","",NA,"937.7","0.0","6020384"
"BARWICK","48.633","-93.967","ON","-11.1","0","4.2","6.5","0","-27.5","0","21.0","0","71.0","21.0","0","71.0","","10","","",NA,"901.7","0.0","6020559"
"ATIKOKAN (AUT)","48.761","-91.628","ON","-11.9","0",NA,"2.2","0","-28.7","0","2.1","24",NA,"",,NA,"16.0","","",,NA,"926.6","0.0","6020LPQ"
"FORT FRANCES A","48.650","-93.433","ON","-11.3","1","4.0","5.5","0","-30.0","1","19.0","0","55.0","19.0","0","55.0","","11","","",NA,"877.7","0.0","6022476"
"MINE CENTRE","48.767","-92.617","ON","-11.4","0","3.9","3.5","0","-31.0","0","21.8","0","71.0","22.4","0","72.0","16.0","7","","",NA,"911.5","0.0","6025203"
"RAINY RIVER","48.717","-94.533","ON","-11.0","0",NA,"6.0","0","-28.0","0","15.0","0",NA,"15.0","0",NA,"14.0","8","","",NA,"900.2","0.0","6026852"
"STRATTON ROMYN","48.700","-94.167","ON","",,NA,"",,"",,"17.6","0",NA,"17.6","0",NA,"14.0","12","","",NA,"","","6028128"
"EMO RADBOURNE","48.683","-93.833","ON","-12.1","0","3.9","4.0","0","-32.0","0","24.4","0","76.0","24.4","0","75.0","21.0","7","","",NA,"933.8","0.0","602K300"
"DRYDEN A","49.833","-92.750","ON","-14.0","0","2.8","3.6","0","-36.5","0","34.3","0","114.0","20.4","0","77.0","31.0","8","",,NA,"991.3","0.0","6032119"
"DRYDEN 'A' (AUT)","49.832","-92.744","ON","-14.1","0",NA,"3.6","0","-36.5","0","",,NA,"11.5","0",NA,"","6","",,NA,"996.3","0.0","6032120"
"KENORA A","49.790","-94.365","ON","-13.5","0","2.5","3.6","0","-32.6","0","31.8","0","112.0","20.4","0","80.0","28.0","6","",,NA,"976.4","0.0","6034075"
