"Environment and Climate Change Canada"
"Monthly Values for January - 1996"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BIG TROUT LAKE READAC","53.816","-89.896","ON","-27.0","0",NA,"-3.0","0","-46.2","0","",,NA,"4.0","2",NA,"","2","",,NA,"1395.5","0.0","6010739"
"EAR FALLS","50.633","-93.217","ON","-21.9","0",NA,"1.0","0","-36.0","0","23.4","0",NA,"23.4","0",NA,"","8","","",NA,"1238.0","0.0","6012198"
"LANSDOWNE HOUSE (AUT)","52.196","-87.936","ON","-25.6","0",NA,"-0.7","0","-46.7","0","",,NA,"0.0","9",NA,"","0","",,NA,"1351.1","0.0","6014353"
"PEAWANUCK (AUT)","54.983","-85.433","ON","-27.7","0",NA,"-9.3","0","-39.4","0","13.1","23",NA,"0.0","0",NA,"41.0","0","",,NA,"1416.8","0.0","6016295"
"PICKLE LAKE A","51.446","-90.214","ON","-23.8","0","-4.5","1.3","0","-41.6","0","33.5","0","91.0","22.9","0","85.0","43.0","9","",,NA,"1294.3","0.0","6016527"
"RED LAKE A","51.067","-93.793","ON","-23.5","0","-5.2","1.9","0","-39.3","0","25.6","0","72.0","17.0","0","63.0","45.0","4","137.3","0","133.0","1286.1","0.0","6016975"
"ATIKOKAN MARMION","48.800","-91.583","ON","-21.2","2",NA,"2.5","2","-42.5","1","52.5","0",NA,"64.7","0",NA,"","13","","",NA,"1135.4","0.0","6020384"
"BARWICK","48.633","-93.967","ON","-22.5","0","-7.2","4.0","0","-45.5","0","45.0","0","152.0","45.0","0","151.0","","9","","",NA,"1255.5","0.0","6020559"
"FORT FRANCES A","48.650","-93.433","ON","-21.9","0","-6.6","4.0","0","-44.0","0","82.0","0","236.0","82.0","0","236.0","93.0","7","","",NA,"1235.6","0.0","6022476"
"MINE CENTRE","48.767","-92.617","ON","-21.2","0","-5.9","4.0","0","-42.5","0","48.5","0","158.0","48.5","0","156.0","75.0","10","","",NA,"1215.8","0.0","6025203"
"RAINY RIVER","48.717","-94.533","ON","-22.0","0",NA,"5.0","0","-45.0","0","60.0","0",NA,"60.0","0",NA,"","8","","",NA,"1241.0","0.0","6026852"
"STRATTON ROMYN","48.700","-94.167","ON","",,NA,"",,"",,"49.4","0",NA,"49.4","0",NA,"","8","","",NA,"","","6028128"
"EMO RADBOURNE","48.683","-93.833","ON","-22.7","0","-6.7","4.5","0","-47.0","0","52.4","0","163.0","52.4","0","161.0","82.0","8","","",NA,"1262.4","0.0","602K300"
"DRYDEN","49.783","-92.833","ON","-22.4","0","-5.0","2.5","0","-39.0","0","44.8","0","165.0","45.0","0","165.0","52.0","10","","",NA,"1252.0","0.0","6032117"
"DRYDEN A","49.833","-92.750","ON","-21.6","0","-4.9","1.4","0","-37.0","0","47.0","0","156.0","39.8","0","150.0","44.0","8","","",NA,"1228.9","0.0","6032119"
"KENORA A","49.790","-94.365","ON","-21.4","0","-5.5","4.3","0","-36.6","0","22.5","0","79.0","19.9","0","78.0","50.0","7","",,NA,"1222.9","0.0","6034075"
"RAWSON LAKE","49.650","-93.717","ON","","","","","","","","","",NA,"","",NA,"","","102.8","1",NA,"","","6036904"
"SIOUX LOOKOUT A","50.117","-91.900","ON","-22.6","0","-5.3","1.7","0","-39.2","0","42.4","0","119.0","43.0","0","123.0","83.0","9","",,NA,"1258.6","0.0","6037775"
"ARMSTRONG (AUT)","50.294","-88.905","ON","-13.3","26",NA,"2.6","26","-42.7","7","2.1","30",NA,"0.2","29",NA,"","0","",,NA,"156.7","0.0","6040325"
"CAMERON FALLS","49.150","-88.350","ON","-20.2","0","-4.1","2.0","0","-42.0","0","111.0","0","200.0","111.0","0","200.0","","10","","",NA,"1184.3","0.0","6041109"
"CARIBOU ISLAND (AUT)","47.333","-85.833","ON","-8.0","1",NA,"4.1","1","-20.6","0","",,NA,"36.0","6",NA,"","2","",,NA,"778.8","0.0","6041222"
"GERALDTON A","49.783","-86.931","ON","-22.6","0","-3.9","1.6","0","-50.2","0","124.2","0","290.0","115.2","0","344.0","97.0","12","",,NA,"1257.4","0.0","6042716"
"FLINT","48.350","-89.683","ON","-19.5","0","-4.8","7.0","0","-44.5","0","102.0","0","230.0","102.0","0","230.0","","11","","",NA,"1163.1","0.0","6042MJ7"
"HEMLO BATTLE MOUNTAIN","48.700","-85.883","ON","-18.5","1",NA,"1.5","1","-44.0","0","60.0","6",NA,"60.0","6",NA,"","4","","",NA,"1095.9","0.0","6043452"
"LAKEHEAD UNIVERSITY","48.433","-89.267","ON","-18.2","8",NA,"6.5","6","-41.0","6","101.4","0",NA,"101.4","0",NA,"69.0","8","","",NA,"832.1","0.0","6044298"
"MARATHON A","48.756","-86.344","ON","-18.6","8",NA,"2.0","7","-40.0","4","104.0","0",NA,"104.0","0",NA,"","11","","",NA,"841.7","0.0","6044961"
"TERRACE BAY","48.800","-87.100","ON","-16.8","0",NA,"2.0","0","-37.0","0","122.0","0",NA,"122.0","0",NA,"","13","","",NA,"1078.5","0.0","6048230"
"THUNDER BAY A","48.369","-89.327","ON","-18.8","0",NA,"6.3","0","-43.2","0","22.5","22",NA,"27.5","17",NA,"","6","",,NA,"1139.4","0.0","6048261"
"THUNDER BAY AWOS","48.367","-89.317","ON","-18.8","0",NA,"6.3","0","-43.2","0","22.5","22",NA,"27.5","17",NA,"","6","",,NA,"1139.4","0.0","6048264"
"TRANQUILLO RIDGE","48.233","-89.517","ON","-18.8","0","-5.0","6.8","0","-40.8","0","105.8","0","171.0","105.8","0","171.0","107.0","9","","",NA,"1139.5","0.0","6048864"
"UPSALA (AUT)","49.033","-90.467","ON","-21.8","0",NA,"2.0","0","-45.1","0","",,NA,"",,NA,"","","",,NA,"1234.4","0.0","6049095"
"WHITEFISH LAKE","48.283","-89.917","ON","-19.3","0","-4.5","5.0","0","-42.5","0","91.2","0","172.0","91.2","0","171.0","107.0","9","","",NA,"1156.9","0.0","6049466"
"ELLIOT LAKE A","46.351","-82.561","ON","-12.5","0",NA,"8.0","0","-30.5","0","80.1","0",NA,"96.2","0",NA,"50.0","13","","",NA,"946.4","0.0","6052259"
"ELLIOT LAKE STANLEIGH","46.417","-82.650","ON","-12.2","0",NA,"8.5","0","-29.5","0","73.6","0",NA,"108.9","0",NA,"60.0","11","","",NA,"936.3","0.0","6052268"
"MISSISSAGI ONT HYDRO","46.433","-83.383","ON","-13.2","0",NA,"7.0","0","-33.5","0","75.0","0",NA,"98.4","0",NA,"","14","","",NA,"968.6","0.0","6055210"
"MONTREAL FALLS","47.267","-84.433","ON","-15.7","9",NA,"7.5","6","-38.5","6","89.5","0",NA,"120.0","0",NA,"","16","","",NA,"740.4","0.0","6055302"
"SAULT STE MARIE 2","46.533","-84.333","ON","-11.7","0","-2.2","5.5","0","-30.0","0","103.0","0","114.0","125.3","0","128.0","102.0","16","","",NA,"920.1","0.0","6057590"
"SAULT STE MARIE A","46.483","-84.509","ON","-12.3","0","-2.3","6.5","0","-30.5","0","108.0","0","135.0","87.9","0","136.0","39.0","12","",,NA,"938.2","0.0","6057592"
"WAWA A","47.967","-84.783","ON","-17.3","0","-3.3","1.0","0","-40.9","0","127.4","0","177.0","139.6","0","250.0","130.0","12","",,NA,"1095.2","0.0","6059D09"
"KILLARNEY (AUT)","45.967","-81.483","ON","-10.9","1",NA,"5.3","0","-25.8","1","",,NA,"",,NA,"","","",,NA,"866.6","0.0","605DJ25"
"BISCOTASING","47.300","-82.100","ON","",,NA,"",,"",,"50.6","0",NA,"78.6","0",NA,"","9","","",NA,"","","6060773"
"CHAPLEAU A","47.820","-83.347","ON","-18.3","0","-2.7","0.0","0","-44.0","0","88.6","0","159.0","98.2","0","189.0","85.0","13","","",NA,"1126.8","0.0","6061361"
"CONISTON STP","46.483","-80.850","ON","-15.3","8",NA,"9.0","5","-38.0","7","54.0","0","101.0","89.0","0","138.0","","11","","",NA,"765.7","0.0","6061850"
"MASSEY","46.183","-82.017","ON","-13.0","0","-1.9","8.0","0","-37.5","0","60.0","0","118.0","75.0","0","127.0","","11","","",NA,"961.2","0.0","6065006"
"MONETVILLE","46.150","-80.300","ON","-13.0","0","-1.1","10.0","0","-35.0","0","58.8","0","93.0","97.2","0","121.0","","11","","",NA,"962.0","0.0","6065250"
"SUDBURY A","46.625","-80.799","ON","-14.6","0","-1.6","7.4","0","-32.6","0","56.4","0","95.0","92.5","0","149.0","21.0","11","98.9","0","115.0","1010.4","0.0","6068150"
"SUDBURY SCIENCE NORTH","46.467","-81.000","ON","-13.4","0",NA,"10.0","0","-34.0","0","49.0","0",NA,"75.9","0",NA,"39.0","9","88.2","0",NA,"973.0","0.0","6068158"
"WARREN","46.433","-80.317","ON","-14.4","0",NA,"9.5","0","-38.5","0","80.2","0",NA,"112.0","0",NA,"52.0","13","","",NA,"1004.8","0.0","6069K90"
"BONNER LAKE","49.383","-82.124","ON","-20.5","1",NA,"-1.0","1","-39.0","1","96.2","0",NA,"83.2","0",NA,"94.0","15","","",NA,"1155.3","0.0","6070QK6"
"DYMOND ONT HYDRO","47.517","-79.683","ON","-17.6","0",NA,"10.0","0","-39.5","0","56.5","0",NA,"62.4","0",NA,"","12","","",NA,"1103.0","0.0","6072183"
"EARLTON A","47.700","-79.850","ON","-18.0","0","-1.8","7.2","0","-38.0","0","53.9","0","115.0","67.3","0","143.0","45.0","13","",,NA,"1115.6","0.0","6072225"
"ENGLEHART","47.817","-79.900","ON","",,NA,"",,"",,"63.0","2",NA,"59.0","5",NA,"","10","","",NA,"","","6072325"
"IROQUOIS FALLS","48.750","-80.667","ON","-20.2","10",NA,"2.0","6","-34.0","6","62.8","0",NA,"80.8","0",NA,"","13","","",NA,"802.6","0.0","6073810"
"ISLAND FALLS","49.583","-81.383","ON","-22.5","1","-3.2","-2.0","0","-42.5","1","79.9","0","140.0","79.9","0","140.0","","15","","",NA,"1216.1","0.0","6073840"
"KAPUSKASING CDA","49.400","-82.433","ON","-21.6","0","-3.1","0.0","0","-41.0","0","88.0","0","165.0","103.5","0","204.0","62.0","14","75.5","0","96.0","1228.3","0.0","6073960"
"KAPUSKASING A","49.414","-82.468","ON","-21.0","0","-3.1","0.2","0","-39.5","0","96.8","0","175.0","95.5","0","199.0","126.0","13","",,NA,"1208.0","0.0","6073975"
"KIRKLAND LAKE","48.150","-80.000","ON","-18.8","0",NA,"8.0","0","-38.5","0","71.4","0",NA,"93.4","0",NA,"67.0","12","","",NA,"1141.3","0.0","6074209"
"MOOSONEE UA","51.267","-80.650","ON","","","","","","","","","",NA,"","",NA,"","","100.9","0","108.0","","","6075425"
"MOOSONEE A","51.291","-80.608","ON","-23.1","0",NA,"-0.4","0","-42.9","0","",,NA,"42.5","2",NA,"","9","",,NA,"1275.5","0.0","6075428"
"NAGAGAMI (AUT)","49.747","-84.164","ON","-22.3","3",NA,"0.9","3","-41.5","1","",,NA,"0.2","3",NA,"","0","",,NA,"1127.0","0.0","6075543"
"PORCUPINE ONT HYDRO","48.467","-81.267","ON","-19.3","1","-2.7","7.0","0","-36.5","1","71.5","0","104.0","84.5","0","121.0","","15","","",NA,"1120.4","0.0","6076572"
"SMOKY FALLS","50.067","-82.167","ON","-20.9","0","-2.2","0.0","0","-39.0","0","64.0","0","110.0","64.0","0","110.0","","16","","",NA,"1207.0","0.0","6077845"
"TIMMINS VICTOR POWER A","48.570","-81.377","ON","-19.7","0","-2.8","6.4","0","-39.9","0","73.6","0","127.0","84.0","0","162.0","92.0","11","",,NA,"1167.8","0.0","6078285"
"DWIGHT","45.383","-78.900","ON","-12.6","0","-0.9","9.0","0","-34.5","0","81.6","0","99.0","146.6","0","137.0","83.0","14","","",NA,"947.5","0.0","6082178"
"FRENCH R CHAUDIERE DAM","46.133","-80.017","ON","-12.5","0",NA,"12.0","0","-32.0","0","55.0","0",NA,"90.6","0",NA,"","13","","",NA,"944.0","0.0","6082612"
"MADAWASKA","45.500","-77.983","ON","-13.3","0","-1.2","10.0","0","-36.0","0","31.6","1",NA,"52.0","4",NA,"","8","","",NA,"969.7","0.0","6084770"
"NORTH BAY A","46.364","-79.423","ON","-14.2","0","-1.6","10.4","0","-30.1","0","87.1","0","133.0","79.1","0","115.0","51.0","14","104.2","0","121.0","997.3","0.0","6085700"
"STURGEON FALLS","46.367","-79.933","ON","",,NA,"",,"",,"65.5","0",NA,"47.5","4",NA,"","9","","",NA,"","","6088144"
"GORE BAY A","45.883","-82.567","ON","-11.8","0",NA,"8.9","0","-28.8","0","",,NA,"42.0","0",NA,"","14","",,NA,"922.8","0.0","6092925"
"GREAT DUCK ISLAND (AUT)","45.633","-82.950","ON","-7.5","1",NA,"6.6","1","-21.5","0","",,NA,"",,NA,"","","",,NA,"764.5","0.0","6093005"
"APPLETON","45.186","-76.113","ON","-11.0","0",NA,"12.0","0","-33.5","0","34.0","0",NA,"73.8","0",NA,"5.0","9","","",NA,"899.8","0.0","6100285"
"ARNPRIOR GRANDON","45.417","-76.367","ON","-12.4","0","-0.9","10.0","0","-33.0","0","34.0","0","91.0","82.6","0","146.0","29.0","10","","",NA,"941.0","0.0","6100345"
"AVONMORE","45.170","-74.971","ON","-11.2","0","-0.8","14.5","0","-35.0","0","30.8","0","61.0","73.0","0","94.0","","11","","",NA,"905.0","0.0","6100398"
"BROCKVILLE PCC","44.600","-75.667","ON","-8.5","0","-0.7","16.0","0","-30.0","0","35.4","0","72.0","110.4","0","141.0","","13","","",NA,"822.7","0.0","6100971"
"CARDINAL","44.800","-75.367","ON","-9.1","0",NA,"16.0","0","-29.0","0","30.0","0",NA,"92.0","0",NA,"5.0","12","","",NA,"841.2","0.0","6101200"
"CARLETON PLACE","45.150","-76.200","ON","-10.9","0",NA,"11.5","0","-32.0","0","37.4","0",NA,"88.4","0",NA,"","9","","",NA,"894.5","0.0","6101250"
"CHALK RIVER AECL","46.050","-77.367","ON","-12.7","0","-1.0","10.0","0","-32.0","0","47.4","0","112.0","83.0","0","150.0","","10","","",NA,"952.4","0.0","6101335"
"CHESTERVILLE 2","45.017","-75.200","ON","-11.0","0",NA,"15.0","0","-33.0","0","27.0","0",NA,"67.6","0",NA,"","12","","",NA,"898.0","0.0","6101502"
"COMBERMERE","45.367","-77.617","ON","-12.3","0","-0.7","10.0","0","-33.0","0","36.5","0","79.0","96.5","0","152.0","25.0","11","","",NA,"939.5","0.0","6101820"
"CORNWALL","45.017","-74.750","ON","-9.1","0","-0.6","18.0","0","-26.0","0","23.5","0","50.0","68.2","0","89.0","2.0","12","","",NA,"838.8","0.0","6101874"
"DALHOUSIE MILLS","45.317","-74.467","ON","-11.6","0","-0.5","11.5","0","-34.5","0","23.4","0","39.0","92.2","0","101.0","","10","","",NA,"916.4","0.0","6101958"
"GLENBURNIE","44.333","-76.500","ON","-9.4","0","-1.0","12.5","0","-33.0","0","16.4","0","41.0","89.2","0","116.0","","11","","",NA,"849.3","0.0","6102808"
"GLEN GORDON","45.167","-74.533","ON","-10.5","0","0.0","16.5","0","-34.0","0","12.5","0","27.0","76.9","0","107.0","","10","","",NA,"884.8","0.0","6102832"
"GODFREY","44.567","-76.633","ON","-9.6","0","-1.1","13.0","0","-34.0","0","24.8","0","54.0","98.0","0","120.0","5.0","12","","",NA,"854.5","0.0","6102857"
"DRUMMOND CENTRE","45.033","-76.250","ON","-11.2","0","-1.4","10.5","0","-34.5","0","35.6","0","82.0","77.7","0","115.0","48.0","7","","",NA,"904.7","0.0","6102J13"
"GRENADIER ISLAND","44.417","-75.850","ON","-8.5","0",NA,"13.7","0","-26.6","0","",,NA,"86.6","0",NA,"","8","",,NA,"822.6","0.0","6103024"
"HARTINGTON IHD","44.433","-76.700","ON","-9.2","0","-0.8","12.5","0","-29.0","0","43.0","0","101.0","94.2","0","125.0","12.0","13","","",NA,"842.8","0.0","6103367"
"KEMPTVILLE","45.000","-75.633","ON","-10.0","0","0.0","15.5","0","-32.0","0","32.6","0","80.0","81.4","0","127.0","","11","117.3","0","119.0","867.9","0.0","6104025"
"KINGSTON A","44.219","-76.597","ON","-8.6","0",NA,"9.5","0","-28.0","0","",,NA,"",,NA,"","","","",NA,"824.3","0.0","6104146"
"KINGSTON PUMPING STATION","44.233","-76.483","ON","-8.0","0","-1.0","12.5","0","-28.0","0","21.4","0","43.0","85.0","0","104.0","4.0","13","","",NA,"805.7","0.0","6104175"
"LYNDHURST SHAWMERE","44.517","-76.083","ON","-9.2","0","-0.8","13.5","0","-34.0","0","33.6","0","85.0","95.4","0","134.0","16.0","13","","",NA,"842.0","0.0","6104725"
"MORRISBURG","44.917","-75.183","ON","-10.1","0","-0.5","16.0","0","-34.0","0","25.2","0","58.0","80.2","0","111.0","","15","","",NA,"871.1","0.0","6105460"
"OMPAH","44.967","-76.850","ON","-11.7","0",NA,"11.5","0","-35.5","0","57.4","0",NA,"103.2","0",NA,"35.0","12","","",NA,"920.5","0.0","6105760"
"OMPAH-SEITZ","45.050","-76.783","ON","-11.1","0",NA,"10.5","0","-30.5","0","52.6","0",NA,"76.8","0",NA,"39.0","9","","",NA,"901.9","0.0","6105762"
"OTTAWA CDA","45.383","-75.717","ON","-11.3","0","-1.1","11.4","0","-29.3","0","42.5","0","96.0","66.7","0","106.0","23.0","10","93.0","0","94.0","907.4","0.0","6105976"
"OTTAWA MACDONALD-CARTIER INT'L  A","45.323","-75.669","ON","-11.7","0","-1.4","12.0","0","-33.1","0","55.2","0","103.0","73.5","0","112.0","11.0","8","",,NA,"920.1","0.0","6106000"
"PETAWAWA A","45.950","-77.317","ON","-14.5","6",NA,"9.2","5","-36.3","4","",,NA,"",,NA,"","","",,NA,"813.1","0.0","6106398"
"RENFREW","45.483","-76.700","ON","-14.3","0","-2.2","10.0","0","-40.0","0","30.6","0","78.0","53.6","0","97.0","","13","","",NA,"1001.5","0.0","6107002"
"ROLPHTON","46.183","-77.650","ON","-13.4","0",NA,"9.5","0","-31.0","0","60.0","0",NA,"82.1","0",NA,"65.0","13","","",NA,"973.7","0.0","6107182"
"RUSSELL","45.263","-75.359","ON","-11.1","0","-1.0","11.5","0","-34.0","0","40.0","0","83.0","83.2","0","111.0","25.0","14","","",NA,"903.2","0.0","6107247"
"ST. ALBERT","45.283","-75.050","ON","-11.9","0","-1.7","13.0","0","-34.0","0","27.0","0","52.0","80.6","0","96.0","","11","","",NA,"926.1","0.0","6107276"
"SANDHURST","44.133","-76.883","ON","-8.5","0",NA,"9.5","0","-31.0","0","34.0","0",NA,"95.8","0",NA,"3.0","12","","",NA,"821.2","0.0","6107434"
"SOUTH MOUNTAIN","44.967","-75.483","ON","-10.4","0","-0.3","15.5","0","-33.5","0","35.8","0","77.0","86.4","0","120.0","3.0","13","","",NA,"879.9","0.0","6107955"
"WOLFE ISLAND","44.150","-76.533","ON","-8.1","0",NA,"10.0","0","-26.0","0","25.6","0",NA,"88.4","0",NA,"","14","","",NA,"809.8","0.0","6109558"
"PETAWAWA HOFFMAN","45.883","-77.250","ON","-13.1","0",NA,"10.0","0","-33.0","0","48.5","0",NA,"82.9","0",NA,"27.0","13","","",NA,"964.9","0.0","610FC98"
"ALLISTON NELSON","44.150","-79.867","ON","-8.0","0","-1.6","9.0","0","-28.0","0","9.8","0","28.0","51.2","0","95.0","13.0","9","","",NA,"807.2","0.0","6110218"
"ANGUS CAMPHILL","44.283","-79.850","ON","-8.8","0",NA,"14.5","0","-32.0","0","16.4","7",NA,"27.8","11",NA,"16.0","6","","",NA,"832.1","0.0","6110275"
"BARRIE (AUT)","44.383","-79.783","ON","-14.3","17",NA,"3.1","16","-29.0","15","",,NA,"",,NA,"","","",,NA,"452.4","0.0","6110552"
"BARRIE WPCC","44.383","-79.683","ON","-9.3","0","-1.6","11.0","0","-29.5","0","45.0","0","68.0","69.2","0","84.0","22.0","13","","",NA,"845.3","0.0","6110557"
"BEATRICE 2","45.133","-79.400","ON","-11.6","0","-0.9","9.0","0","-34.5","0","66.0","0","76.0","131.8","0","115.0","","13","","",NA,"916.7","0.0","6110606"
"BRITT (AUT)","45.800","-80.533","ON","-12.8","0",NA,"10.5","0","-34.7","0","",,NA,"",,NA,"","","",,NA,"955.8","0.0","6110967"
"CHATSWORTH","44.395","-80.905","ON","-8.3","0","-1.4","12.0","0","-27.5","0","43.0","0","46.0","66.6","0","57.0","","16","","",NA,"815.3","0.0","6111467"
"COLDWATER WARMINSTER","44.633","-79.533","ON","-10.6","6",NA,"8.5","6","-28.0","5","49.6","0",NA,"81.8","0",NA,"","12","45.4","0",NA,"715.1","0.0","6111769"
"COLLINGWOOD","44.500","-80.217","ON","-6.6","0",NA,"12.2","0","-24.8","0","10.9","26",NA,"260.7","1",NA,"11.0","19","",,NA,"764.1","0.0","6111792"
"COOKSTOWN","44.200","-79.683","ON","-9.4","0","-1.5","9.5","0","-31.0","0","24.7","0","66.0","63.2","0","112.0","3.0","10","","",NA,"848.2","0.0","6111859"
"DORSET MOE","45.217","-78.933","ON","-11.5","0","-1.0","10.5","0","-35.5","0","87.4","0","119.0","122.2","0","130.0","46.0","12","","",NA,"915.8","0.0","6112072"
"DUNCHURCH","45.617","-79.883","ON","-12.0","0","-0.9","10.5","0","-35.5","0","70.2","0","87.0","130.8","0","126.0","54.0","14","","",NA,"928.7","0.0","6112133"
"DURHAM","44.183","-80.817","ON","-8.0","1","-0.9","9.0","1","-25.0","1","72.0","0","89.0","101.6","0","99.0","","17","","",NA,"780.5","0.0","6112171"
"ESSA ONT HYDRO","44.350","-79.817","ON","-8.8","0","-1.4","9.5","0","-30.5","0","51.0","0","87.0","80.3","0","105.0","","14","","",NA,"831.6","0.0","6112340"
"HANOVER","44.117","-81.000","ON","-8.9","0","-2.1","10.0","0","-31.0","0","54.0","0","65.0","87.9","0","80.0","18.0","13","","",NA,"833.6","0.0","6113329"
"HUNTSVILLE WPCP","45.350","-79.167","ON","-10.4","1","-0.1","10.5","1","-32.0","0","54.7","0","73.0","86.5","0","93.0","","12","","",NA,"851.2","0.0","6113663"
"LAGOON CITY","44.547","-79.217","ON","-11.2","0",NA,"7.7","0","-32.9","0","",,NA,"",,NA,"","","",,NA,"906.0","0.0","6114295"
"MIDLAND WATER POLLUTION CONTROL PLANT","44.758","-79.875","ON","-9.7","0","-1.3","11.0","0","-31.0","0","34.0","0","39.0","49.0","0","45.0","23.0","12","","",NA,"859.9","0.0","6115127"
"MIDLAND HURONIA A","44.683","-79.933","ON","-9.5","0",NA,"9.0","0","-28.0","0","36.5","0",NA,"54.5","0",NA,"30.0","16","","",NA,"853.3","0.0","6115130"
"MOONSTONE","44.633","-79.667","ON","-10.0","0",NA,"11.5","0","-31.5","0","56.8","0",NA,"92.2","0",NA,"54.0","15","","",NA,"869.3","0.0","6115389"
"MUSKOKA A","44.967","-79.300","ON","-11.9","0","-1.6","8.7","0","-32.7","0","59.4","0","68.0","87.5","0","94.0","44.0","12","",,NA,"926.1","0.0","6115525"
