"Environment and Climate Change Canada"
"Monthly Values for January - 2013"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BIG TROUT LAKE","53.818","-89.897","ON","-23.1","13",NA,"-5.1","13","-39.2","13","",,NA,"0.0","25",NA,"","0","",,NA,"739.8","0.0","6010735"
"BIG TROUT LAKE READAC","53.816","-89.896","ON","-25.0","1",NA,"-4.5","1","-42.0","1","",,NA,"30.5","1",NA,"","10","",,NA,"1289.3","0.0","6010739"
"BIG TROUT LAKE","53.816","-89.892","ON","-24.8","0",NA,"-4.6","0","-41.5","0","",,NA,"35.0","2",NA,"67.0","8","",,NA,"1325.5","0.0","6010740"
"EAR FALLS (AUT)","50.631","-93.221","ON","-17.1","0",NA,"4.4","0","-36.2","0","",,NA,"37.3","1",NA,"37.0","9","",,NA,"1087.1","0.0","6012199"
"FORT SEVERN A","56.019","-87.676","ON","-27.3","5",NA,"-6.1","5","-40.1","4","",,NA,"",,NA,"","","",,NA,"1178.0","0.0","6012500"
"LANSDOWNE HOUSE (AUT)","52.196","-87.936","ON","-22.7","0",NA,"-2.0","0","-45.0","0","",,NA,"47.4","1",NA,"51.0","9","",,NA,"1261.2","0.0","6014353"
"MUSKRAT DAM","53.441","-91.763","ON","-23.0","1",NA,"-2.5","1","-39.3","0","",,NA,"",,NA,"","","",,NA,"1228.5","0.0","6015026"
"PEAWANUCK (AUT)","54.983","-85.433","ON","",,NA,"-6.1","0","",,"",,NA,"20.1","0",NA,"","6","",,NA,"","","6016295"
"PICKLE LAKE (AUT)","51.449","-90.218","ON","-19.5","0",NA,"2.3","0","-36.3","0","",,NA,"40.6","0",NA,"37.0","8","",,NA,"1161.1","0.0","6016525"
"PICKLE LAKE","51.446","-90.214","ON","-19.3","1",NA,"0.2","1","-36.5","1","",,NA,"",,NA,"44.0","","",,NA,"1118.6","0.0","6016529"
"RED LAKE A","51.067","-93.793","ON","-18.8","4",NA,"0.6","4","-40.1","4","25.2","8",NA,"30.9","8",NA,"40.0","9","",,NA,"994.4","0.0","6016970"
"SANDY LAKE","53.064","-93.344","ON","-20.8","0",NA,"-2.1","0","-36.0","0","",,NA,"",,NA,"","","",,NA,"1203.7","0.0","6017401"
"BARWICK","48.633","-93.967","ON","-15.2","2","0.1","9.5","2","-38.5","2","38.4","2",NA,"49.7","2",NA,"27.0","8","","",NA,"961.4","0.0","6020559"
"ATIKOKAN (AUT)","48.761","-91.628","ON","-14.6","0",NA,"7.8","0","-38.9","0","",,NA,"53.6","0",NA,"35.0","10","",,NA,"1010.4","0.0","6020LPQ"
"FORT FRANCES RCS","48.651","-93.439","ON","-15.2","0",NA,"8.3","0","-37.9","0","",,NA,"66.4","1",NA,"35.0","17","",,NA,"1030.1","0.0","6022474"
"MINE CENTRE SOUTHWEST","48.760","-92.623","ON","-14.8","0",NA,"2.5","0","-38.0","0","58.3","0",NA,"63.8","0",NA,"50.0","10","","",NA,"1017.5","0.0","6025205"
"DRYDEN REGIONAL","49.828","-92.744","ON","-13.9","4",NA,"5.9","4","-33.4","4","",,NA,"21.1","4",NA,"","6","",,NA,"862.2","0.0","6032125"
"KENORA RCS","49.791","-94.378","ON","-16.2","0",NA,"6.0","0","-34.4","0","",,NA,"62.1","0",NA,"30.0","20","",,NA,"1061.7","0.0","6034073"
"KENORA A","49.790","-94.365","ON","-16.3","0","-0.3","5.9","0","-35.5","0","54.4","0","191.0","45.2","0","177.0","35.0","11","",,NA,"1063.6","0.0","6034075"
"KENORA A","49.788","-94.363","ON","-5.0","30",NA,"-1.1","30","-8.8","30","2.0","30",NA,"4.0","30",NA,"","1","",,NA,"23.0","0.0","6034076"
"RAWSON LAKE","49.650","-93.717","ON","-15.0","0","0.6","7.5","0","-35.0","0","28.7","0","85.0","93.8","0","331.0","37.0","12","","",NA,"1023.5","0.0","6036904"
"SIOUX LOOKOUT A","50.117","-91.900","ON","-17.4","0","-0.1","6.2","0","-39.7","0","67.4","0","190.0","73.4","0","211.0","39.0","15","",,NA,"1097.6","0.0","6037775"
"ARMSTRONG (AUT)","50.294","-88.905","ON","-19.1","4",NA,"2.7","4","-45.1","4","",,NA,"67.4","4",NA,"50.0","9","",,NA,"1002.2","0.0","6040325"
"CAMERON FALLS (AUT)","49.154","-88.345","ON","-13.0","3",NA,"5.1","3","-35.8","0","",,NA,"32.9","2",NA,"22.0","8","",,NA,"866.7","0.0","6041110"
"CARIBOU ISLAND (AUT)","47.333","-85.833","ON","-4.8","0",NA,"6.2","0","-21.3","0","",,NA,"",,NA,"","","",,NA,"707.5","0.0","6041222"
"GERALDTON A","49.783","-86.931","ON","-17.4","0","1.3","4.4","0","-41.6","0","35.6","0","83.0","39.2","0","117.0","31.0","10","",,NA,"1096.4","0.0","6042716"
"FLINT","48.350","-89.683","ON","-12.9","0","1.9","7.0","0","-40.0","0","35.0","0","79.0","46.8","0","105.0","19.0","10","","",NA,"957.5","0.0","6042MJ7"
"PUKASKWA (AUT)","48.608","-86.287","ON","-12.7","0",NA,"5.6","0","-38.3","0","54.0","20",NA,"48.8","1",NA,"20.0","8","",,NA,"953.2","0.0","6046768"
"THUNDER BAY","48.372","-89.322","ON","-10.2","0",NA,"7.2","0","-36.3","0","",,NA,"17.7","2",NA,"","4","",,NA,"875.2","0.0","6048260"
"THUNDER BAY BURWOOD","48.414","-89.278","ON","-8.7","12",NA,"4.0","12","-26.5","12","29.0","12",NA,"21.6","12",NA,"15.0","5","","",NA,"507.3","0.0","6048266"
"THUNDER BAY CS","48.369","-89.327","ON","-11.9","0",NA,"7.1","0","-39.5","0","",,NA,"29.0","1",NA,"10.0","7","",,NA,"928.4","0.0","6048268"
"UPSALA (AUT)","49.033","-90.467","ON","-15.2","0",NA,"6.8","0","-38.5","0","",,NA,"49.6","0",NA,"35.0","10","",,NA,"1028.7","0.0","6049095"
"WELCOME ISLAND (AUT)","48.369","-89.119","ON","-10.2","0",NA,"4.3","0","-30.4","0","",,NA,"",,NA,"","","",,NA,"874.8","0.0","6049443"
"LITTLE FLATLAND ISLAND (AUT)","49.690","-88.306","ON","-12.8","5",NA,"4.0","5","-29.9","5","",,NA,"",,NA,"29.0","","",,NA,"801.2","0.0","6049470"
"THUNDER BAY A FIREHALL","48.367","-89.317","ON","",,NA,"",,"",,"32.0","0",NA,"29.4","0",NA,"11.0","7","","",NA,"","","604S003"
"SAULT STE MARIE","46.485","-84.510","ON","-6.9","7",NA,"8.6","7","-29.8","7","62.9","8",NA,"77.3","7",NA,"33.0","13","",,NA,"598.5","0.0","6057591"
"WAWA A","47.967","-84.783","ON","-12.3","0","1.7","7.0","0","-35.2","0","74.0","0","103.0","58.6","0","105.0","20.0","15","",,NA,"939.5","0.0","6059D09"
"KILLARNEY (AUT)","45.967","-81.483","ON","-7.0","0",NA,"7.4","0","-26.9","0","",,NA,"0.0","3",NA,"","0","",,NA,"776.1","0.0","605DJ25"
"CHAPLEAU A","47.820","-83.347","ON","-14.4","0","1.2","7.2","0","-40.7","0","59.2","0","107.0","57.6","0","111.0","45.0","16","",,NA,"1003.0","0.0","6061361"
"MASSEY","46.193","-82.025","ON","-9.8","0","1.3","8.0","0","-36.5","0","66.8","0","132.0","102.6","0","174.0","36.0","17","","",NA,"860.5","0.0","6065006"
"SUDBURY CLIMATE","46.632","-80.796","ON","-12.0","0",NA,"6.0","0","-38.0","0","",,NA,"79.6","0",NA,"27.0","15","",,NA,"928.9","0.0","6068145"
"SUDBURY A","46.626","-80.798","ON","-11.5","0","1.5","7.2","0","-36.2","0","80.6","0","135.0","98.6","0","159.0","25.0","15","",,NA,"914.4","0.0","6068150"
"BONNER LAKE","49.383","-82.124","ON","-17.1","1",NA,"6.5","1","-40.0","0","37.4","0",NA,"42.9","0",NA,"49.0","12","","",NA,"1053.2","0.0","6070QK6"
"EARLTON","47.695","-79.849","ON","-14.5","4",NA,"5.4","4","-41.4","4","",,NA,"26.4","4",NA,"","6","",,NA,"877.1","0.0","6072223"
"EARLTON CLIMATE","47.695","-79.849","ON","-14.2","1",NA,"5.8","1","-41.8","0","",,NA,"61.7","0",NA,"","17","",,NA,"965.1","0.0","6072230"
"KAPUSKASING A","49.414","-82.468","ON","-16.6","0","1.3","7.3","0","-39.1","0","28.3","0","51.0","41.3","0","86.0","45.0","13","",,NA,"1072.1","0.0","6073975"
"KAPUSKASING CDA ON","49.406","-82.444","ON","-16.9","0",NA,"6.9","0","-40.1","0","",,NA,"23.2","0",NA,"36.0","7","",,NA,"1082.8","0.0","6073980"
"KIRKLAND LAKE CS","48.150","-80.000","ON","-15.4","0",NA,"6.5","0","-41.2","0","",,NA,"69.1","0",NA,"26.0","17","",,NA,"1035.4","0.0","6074211"
"MOOSONEE","51.291","-80.608","ON","-19.4","9",NA,"1.6","9","-36.2","9","",,NA,"8.6","9",NA,"","2","",,NA,"823.0","0.0","6075420"
"MOOSONEE UA","51.267","-80.650","ON","-18.4","0","1.6","2.5","0","-38.0","0","58.1","0","146.0","36.3","0","110.0","38.0","7","","",NA,"1127.2","0.0","6075425"
"MOOSONEE RCS","51.292","-80.618","ON","-18.9","0",NA,"2.4","0","-37.3","0","",,NA,"44.9","0",NA,"51.0","15","",,NA,"1142.7","0.0","6075435"
